tier,method,random_seed,quantization_setting,trainable_parameter_percentage,wall_clock_minutes_training_loop,peak_gpu_memory_gigabytes,optimizer_steps_completed,training_examples_seen,device_name
general-instruct,ablation_rank_sweep_16,42,bf16_full,0.33463,33.2521,26.743,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,ablation_rank_sweep_32,42,bf16_full,0.66702,33.6402,27.353,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed_qlora_nf4,42,nf4_4bit,1.46684,44.6656,14.414,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed_loao_social_group,42,bf16_full,0.77044,18.7942,32.912,267,2115,NVIDIA A100-SXM4-40GB
general-instruct,reference_vanilla_lora_loao_social_group,42,bf16_full,0.28006,23.6204,26.627,267,2115,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed_loao_landholding,42,bf16_full,0.82069,17.8216,27.636,246,1947,NVIDIA A100-SXM4-40GB
general-instruct,reference_vanilla_lora_loao_landholding,42,bf16_full,0.28006,21.5523,26.627,246,1947,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed_loao_gender,42,bf16_full,0.80211,31.1684,27.602,426,3408,NVIDIA A100-SXM4-40GB
general-instruct,reference_vanilla_lora_loao_gender,42,bf16_full,0.28006,38.1785,26.627,426,3408,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed,42,bf16_full,0.70086,12.3062,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed,43,bf16_full,0.70086,12.465,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed,44,bf16_full,0.70086,11.9965,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_placement_uniform,42,bf16_full,0.70086,17.4847,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_placement_random,42,bf16_full,0.70086,14.5234,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_placement_random_draw2,42,bf16_full,0.70086,14.2887,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_placement_random_draw3,42,bf16_full,0.70086,12.3884,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_no_rationale_loss,42,bf16_full,0.70086,10.6776,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_no_condition_adaptive,42,bf16_full,0.70086,11.5914,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_rank_sweep_8,42,bf16_full,0.13588,11.3434,18.754,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_rank_sweep_16,42,bf16_full,0.27138,11.3385,18.917,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,ablation_rank_sweep_32,42,bf16_full,0.54129,11.4592,19.242,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed_qlora_nf4,42,nf4_4bit,1.22959,18.0102,12.42,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed_loao_social_group,42,bf16_full,0.69527,6.6231,22.766,267,2115,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_lora_loao_social_group,42,bf16_full,0.27138,8.2272,18.917,267,2115,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed_loao_landholding,42,bf16_full,0.71763,6.0517,19.456,246,1947,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_lora_loao_landholding,42,bf16_full,0.27138,7.5103,18.917,246,1947,NVIDIA A100-SXM4-40GB
general-instruct-2,graft_proposed_loao_gender,42,bf16_full,0.70645,10.6651,19.442,426,3408,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_lora_loao_gender,42,bf16_full,0.27138,13.6071,18.917,426,3408,NVIDIA A100-SXM4-40GB
small-instruct,baseline_fairnet,42,bf16_full,0.82593,5.8509,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,baseline_fairnet,43,bf16_full,0.82593,5.8515,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,baseline_fairnet,44,bf16_full,0.82593,5.838,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,baseline_igu_lora,42,bf16_full,0.82593,4.5027,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,baseline_pedal,42,bf16_full,0.82593,6.0172,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,baseline_dart,42,bf16_full,0.82593,9.3825,13.014,611,4873,NVIDIA A100-SXM4-40GB
small-instruct,baseline_dart,43,bf16_full,0.82593,9.3788,13.014,611,4873,NVIDIA A100-SXM4-40GB
small-instruct,baseline_dart,44,bf16_full,0.82593,9.3786,13.014,613,4895,NVIDIA A100-SXM4-40GB
small-instruct,baseline_regift,42,bf16_full,0.82593,7.0074,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,baseline_lftf,42,bf16_full,0.82593,4.0606,18.077,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_lora,42,bf16_full,0.37697,5.8062,12.797,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_lora,43,bf16_full,0.37697,5.8231,12.797,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_lora,44,bf16_full,0.37697,5.8424,12.797,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_qlora,42,nf4_4bit,0.66957,8.3621,10.323,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_fairnet,42,bf16_full,1.37506,8.0883,21.936,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_fairnet,43,bf16_full,1.37506,8.0916,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_fairnet,44,bf16_full,1.37506,8.0505,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_igu_lora,42,bf16_full,1.37506,7.6326,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_pedal,42,bf16_full,1.37506,7.9678,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_dart,42,bf16_full,1.37506,12.4083,16.082,611,4873,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_dart,43,bf16_full,1.37506,12.3317,16.082,611,4873,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_dart,44,bf16_full,1.37506,12.8133,16.082,613,4889,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_regift,42,bf16_full,1.37506,9.255,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,baseline_lftf,42,bf16_full,1.35009,5.8236,22.834,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_lora,42,bf16_full,0.40889,7.8433,15.492,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_lora,43,bf16_full,0.40889,7.8781,15.492,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_lora,44,bf16_full,0.40889,7.8384,15.492,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_qlora,42,nf4_4bit,0.74314,10.6381,11.923,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_fairnet,42,bf16_full,0.80005,40.4657,36.112,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_fairnet,43,bf16_full,0.80005,40.5478,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_fairnet,44,bf16_full,0.80005,40.6799,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_igu_lora,42,bf16_full,0.80005,33.9008,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_pedal,42,bf16_full,0.80005,41.5605,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_dart,42,bf16_full,0.80005,42.2407,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_dart,43,bf16_full,0.80005,54.0368,27.598,610,4869,NVIDIA A100-SXM4-40GB
general-instruct,baseline_dart,44,bf16_full,0.80005,53.6323,27.598,613,4893,NVIDIA A100-SXM4-40GB
general-instruct,baseline_regift,42,bf16_full,0.80005,40.5112,27.598,468,3735,NVIDIA A100-SXM4-40GB
