tier,method,random_seed,attribution_mass_fraction_on_originally_targeted_layers,attribution_rank_spearman_before_versus_after_repair,attribution_top_k_layer_jaccard_before_versus_after_repair,identity_probe_accuracy_on_agrifacts_swaps,identity_probe_accuracy_on_agriadvice_personas,residual_identity_signal_relative_to_frozen_base
small-instruct,frozen_base,42,,,,0.6635,1.0,1.0
small-instruct,baseline_dart,42,0.8941,0.9907,1.0,0.8238,1.0,1.2417
small-instruct,baseline_fairnet,42,0.8877,0.9896,1.0,0.6926,1.0,1.044
small-instruct,baseline_igu_lora,42,0.8795,0.9847,1.0,0.722,0.995,1.0882
small-instruct,baseline_lftf,42,0.8991,0.9929,1.0,0.6635,1.0,1.0
small-instruct,baseline_pedal,42,0.8889,0.9863,1.0,0.8026,1.0,1.2096
small-instruct,baseline_regift,42,0.8951,0.994,1.0,0.832,1.0,1.254
small-instruct,graft_proposed,42,0.883,0.9907,1.0,0.8443,1.0,1.2726
small-instruct,graft_proposed_loao_gender,42,0.8785,0.9907,1.0,0.7395,1.0,1.1146
small-instruct,graft_proposed_loao_landholding,42,0.8919,0.9874,1.0,0.8275,0.9975,1.2472
small-instruct,graft_proposed_loao_social_group,42,0.9,0.9973,1.0,0.8444,1.0,1.2727
small-instruct,graft_proposed_qlora_nf4,42,0.8899,0.9874,1.0,0.8068,0.995,1.2161
small-instruct,reference_vanilla_lora,42,0.8892,0.9901,1.0,0.756,1.0,1.1395
small-instruct,reference_vanilla_lora_loao_gender,42,0.9049,0.9929,1.0,0.8152,1.0,1.2286
small-instruct,reference_vanilla_lora_loao_landholding,42,0.8868,0.988,1.0,0.8065,1.0,1.2155
small-instruct,reference_vanilla_lora_loao_social_group,42,0.8932,0.9973,1.0,0.7981,0.9975,1.203
small-instruct,reference_vanilla_qlora,42,0.8892,0.9858,1.0,0.7309,0.9975,1.1017
small-instruct,baseline_fairsteer,42,,,,0.6635,1.0,1.0
broad-instruct,frozen_base,42,,,,0.6547,1.0,1.0
broad-instruct,baseline_dart,42,0.8981,0.9766,1.0,0.5628,1.0,0.8596
broad-instruct,baseline_fairnet,42,0.8921,0.9683,1.0,0.5588,1.0,0.8535
broad-instruct,baseline_igu_lora,42,0.824,0.8492,0.8462,0.4281,1.0,0.6539
broad-instruct,baseline_lftf,42,0.977,0.9701,1.0,0.6547,1.0,1.0
broad-instruct,baseline_pedal,42,0.9318,0.9714,1.0,0.7226,0.995,1.1037
broad-instruct,baseline_regift,42,0.9379,0.982,1.0,0.6341,1.0,0.9686
broad-instruct,graft_proposed,42,0.9131,0.9794,1.0,0.6638,1.0,1.0139
broad-instruct,graft_proposed_loao_gender,42,0.8735,0.9416,1.0,0.4869,1.0,0.7437
broad-instruct,graft_proposed_loao_landholding,42,0.8882,0.9717,1.0,0.4957,1.0,0.7571
broad-instruct,graft_proposed_loao_social_group,42,0.9662,0.9856,1.0,0.7145,0.985,1.0913
broad-instruct,graft_proposed_qlora_nf4,42,0.8623,0.9341,0.92,0.5162,1.0,0.7885
broad-instruct,reference_vanilla_lora,42,0.9445,0.9763,1.0,0.6677,0.9975,1.0199
broad-instruct,reference_vanilla_lora_loao_gender,42,0.9292,0.9892,1.0,0.5835,1.0,0.8913
broad-instruct,reference_vanilla_lora_loao_landholding,42,0.931,0.9943,1.0,0.6256,0.9975,0.9556
broad-instruct,reference_vanilla_lora_loao_social_group,42,0.9714,0.9894,1.0,0.5463,0.995,0.8344
broad-instruct,reference_vanilla_qlora,42,0.9191,0.9792,1.0,0.7182,1.0,1.097
broad-instruct,baseline_fairsteer,42,,,,0.6547,1.0,1.0
general-instruct,frozen_base,42,,,,0.773,1.0,1.0
general-instruct,baseline_dart,42,0.9629,0.9204,1.0,0.8193,0.9975,1.0599
general-instruct,baseline_fairnet,42,0.9443,0.9269,1.0,0.8317,0.9975,1.0759
general-instruct,baseline_igu_lora,42,0.9589,0.9271,1.0,0.6682,1.0,0.8643
general-instruct,baseline_lftf,42,0.9479,0.9505,1.0,0.773,1.0,1.0
general-instruct,baseline_pedal,42,0.9398,0.9586,1.0,0.8024,0.9975,1.038
general-instruct,baseline_regift,42,0.9402,0.9494,1.0,0.811,0.9975,1.0491
general-instruct,graft_proposed,42,0.9361,0.9522,1.0,0.8399,0.9975,1.0865
general-instruct,graft_proposed_loao_gender,42,0.9184,0.9708,1.0,0.7521,0.9975,0.9729
general-instruct,graft_proposed_loao_landholding,42,0.9599,0.9341,1.0,0.6637,0.9975,0.8586
general-instruct,graft_proposed_loao_social_group,42,0.9039,0.9481,0.931,0.7435,0.9925,0.9618
general-instruct,graft_proposed_qlora_nf4,42,0.927,0.9483,1.0,0.8404,0.9975,1.0872
general-instruct,reference_vanilla_lora,42,0.9436,0.952,1.0,0.752,0.9975,0.9728
general-instruct,reference_vanilla_lora_loao_gender,42,0.9556,0.9504,1.0,0.7981,0.995,1.0325
