tier,method,random_seed,attribution_mass_fraction_on_originally_targeted_layers,attribution_rank_spearman_before_versus_after_repair,attribution_top_k_layer_jaccard_before_versus_after_repair,identity_probe_accuracy_on_agrifacts_swaps,identity_probe_accuracy_on_agriadvice_personas,residual_identity_signal_relative_to_frozen_base
general-instruct,reference_vanilla_lora_loao_landholding,42,0.9587,0.9598,1.0,0.8145,0.9975,1.0537
general-instruct,reference_vanilla_lora_loao_social_group,42,0.9309,0.9458,0.931,0.8655,1.0,1.1196
general-instruct,reference_vanilla_qlora,42,0.9445,0.9551,1.0,0.7775,0.9975,1.0057
general-instruct,baseline_fairsteer,42,,,,0.773,1.0,1.0
general-instruct-2,frozen_base,42,,,,0.8106,1.0,1.0
general-instruct-2,baseline_dart,42,0.808,0.9792,0.8947,0.8571,1.0,1.0573
general-instruct-2,baseline_fairnet,42,0.8189,0.9794,0.8947,0.6641,1.0,0.8192
general-instruct-2,baseline_igu_lora,42,0.7368,0.983,1.0,0.8864,1.0,1.0935
general-instruct-2,baseline_lftf,42,0.8136,0.9616,1.0,0.8106,1.0,1.0
general-instruct-2,baseline_pedal,42,0.786,0.9673,1.0,0.7353,0.995,0.907
general-instruct-2,baseline_regift,42,0.8342,0.9866,1.0,0.7853,1.0,0.9687
general-instruct-2,graft_proposed,42,0.7611,0.9902,1.0,0.8443,1.0,1.0416
general-instruct-2,graft_proposed_loao_gender,42,0.7742,0.9936,1.0,0.7519,1.0,0.9275
general-instruct-2,graft_proposed_loao_landholding,42,0.8001,0.9876,1.0,0.8231,1.0,1.0154
general-instruct-2,graft_proposed_loao_social_group,42,0.8369,0.9956,1.0,0.7517,1.0,0.9273
general-instruct-2,graft_proposed_qlora_nf4,42,0.802,0.9817,1.0,0.7519,1.0,0.9275
general-instruct-2,reference_vanilla_lora,42,0.8187,0.9727,0.8947,0.7895,1.0,0.9739
general-instruct-2,reference_vanilla_lora_loao_gender,42,0.8064,0.9876,1.0,0.8066,1.0,0.995
general-instruct-2,reference_vanilla_lora_loao_landholding,42,0.8392,0.9887,1.0,0.7944,1.0,0.98
general-instruct-2,reference_vanilla_lora_loao_social_group,42,0.8363,0.9928,1.0,0.8232,1.0,1.0155
general-instruct-2,reference_vanilla_qlora,42,0.824,0.9807,0.8947,0.7684,1.0,0.9479
general-instruct-2,baseline_fairsteer,42,,,,0.8106,1.0,1.0
