tier,hf_id,parameter_count_billions,method,base_method,held_out_axis,random_seed,scope,category,form,attention_implementation_used,model_class_used,model_revision_hash,quantization_setting,number_of_items,overall_accuracy,accuracy_on_diff_condition,accuracy_on_equal_condition,balanced_awareness_score_harmonic_mean_of_diff_and_equal_accuracy,diff_minus_equal_accuracy_gap,difference_aware_metric_wang_2025_recall_style,contextual_awareness_metric_wang_2025_precision_style,capability_retention_accuracy_on_external_probe,capability_probe_source_name,gap_erasure_rate_on_diff_items,gap_fabrication_rate_on_equal_items,failure_polarity_index_positive_means_gap_erasure,dominant_failure_polarity_label,identity_swap_unlicensed_flip_rate,identity_swap_invariance_rate_on_equal_items,identity_swap_equivariance_rate_on_diff_items,option_rotation_mean_accuracy,option_rotation_canonical_consistency_rate,option_rotation_position_following_rate,rationale_bleu4_against_reference,rationale_rouge_l_against_reference,rationale_census_cell_citation_preservation_rate,rationale_factual_correctness_score_one_to_five_via_judge,trainable_parameter_percentage,json_parse_failure_rate_percent,answers_recovered_by_judge,answers_left_unresolved,api_judge_model_string
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_rationale_loss,ablation_no_rationale_loss,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_rationale_loss,ablation_no_rationale_loss,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9365,0.9497,0.9231,0.9362,0.0266,0.9497,0.9264,,,0.0189,0.0769,-0.6061,gap_fabrication_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_rationale_loss,ablation_no_rationale_loss,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9341,0.8779,0.9844,0.9281,-0.1065,0.8779,0.9805,,,0.0465,0.0156,0.4971,gap_erasure_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_rationale_loss,ablation_no_rationale_loss,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9686,0.9231,0.9887,0.9548,-0.0656,0.9231,0.973,,,0.0256,0.0113,0.3882,gap_erasure_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_rationale_loss,ablation_no_rationale_loss,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9271,0.9215,0.9353,0.9284,-0.0138,0.9215,0.9541,,,0.0307,0.0647,-0.356,gap_fabrication_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9586,0.973,0.9444,0.9585,0.0286,0.973,0.945,0.55,external_probe:cais/mmlu/all/test,0.0054,0.0556,-0.8231,gap_fabrication_dominant,0.15,0.9556,0.7727,0.9533,0.96,0.0,0.9859,0.9877,0.9993,4.892,0.82593,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9365,0.9874,0.8846,0.9332,0.1028,0.9874,0.8971,,,0.0,0.1154,-1.0,gap_fabrication_dominant,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9698,0.9535,0.9844,0.9687,-0.0309,0.9535,0.982,,,0.0116,0.0156,-0.1467,bipolar_no_dominant_polarity,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9843,0.9744,0.9887,0.9815,-0.0143,0.9744,0.9744,,,0.0,0.0113,-1.0,gap_fabrication_dominant,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9453,0.9727,0.9055,0.9379,0.0672,0.9727,0.9375,,,0.0068,0.0945,-0.8653,gap_fabrication_dominant,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9533,0.9677,0.9392,0.9532,0.0285,0.9677,0.9398,0.588,external_probe:cais/mmlu/all/test,0.0108,0.0608,-0.699,gap_fabrication_dominant,0.095,0.9333,0.8636,0.9533,0.9933,0.0,0.9822,0.9848,0.9947,4.892,0.82593,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9238,0.9748,0.8718,0.9204,0.103,0.9748,0.8857,,,0.0,0.1282,-1.0,gap_fabrication_dominant,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9698,0.9535,0.9844,0.9687,-0.0309,0.9535,0.982,,,0.0233,0.0156,0.1963,bipolar_no_dominant_polarity,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9804,0.9615,0.9887,0.9749,-0.0272,0.9615,0.974,,,0.0,0.0113,-1.0,gap_fabrication_dominant,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9393,0.9693,0.8955,0.9309,0.0738,0.9693,0.9311,,,0.0137,0.1045,-0.7689,gap_fabrication_dominant,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9533,0.9677,0.9392,0.9532,0.0285,0.9677,0.9398,0.568,external_probe:cais/mmlu/all/test,0.0108,0.0608,-0.699,gap_fabrication_dominant,0.185,0.9778,0.7091,0.9533,1.0,0.0,0.9834,0.9852,1.0,4.892,0.82593,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9206,0.9686,0.8718,0.9176,0.0968,0.9686,0.8851,,,0.0,0.1282,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9725,0.9593,0.9844,0.9717,-0.0251,0.9593,0.9821,,,0.0233,0.0156,0.1963,bipolar_no_dominant_polarity,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9843,0.9744,0.9887,0.9815,-0.0143,0.9744,0.9744,,,0.0,0.0113,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9372,0.9659,0.8955,0.9294,0.0703,0.9659,0.9309,,,0.0137,0.1045,-0.7689,gap_fabrication_dominant,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9466,0.9542,0.9392,0.9466,0.015,0.9542,0.939,0.588,external_probe:cais/mmlu/all/test,0.0081,0.0608,-0.7654,gap_fabrication_dominant,0.07,0.9556,0.9182,0.9356,0.9667,0.0067,0.9843,0.9859,1.0,4.838,0.82593,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.9857,0.975,1.0,0.9873,-0.025,0.975,1.0,,,0.025,0.0,1.0,gap_erasure_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9302,0.9811,0.8782,0.9268,0.1029,0.9811,0.8914,,,0.0,0.1218,-1.0,gap_fabrication_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9533,0.9244,0.9792,0.951,-0.0547,0.9244,0.9755,,,0.0116,0.0208,-0.2836,gap_fabrication_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9765,0.9487,0.9887,0.9683,-0.04,0.9487,0.9737,,,0.0128,0.0113,0.0631,bipolar_no_dominant_polarity,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9312,0.9556,0.8955,0.9246,0.0601,0.9556,0.9302,,,0.0068,0.1045,-0.8773,gap_fabrication_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9479,0.973,0.9233,0.9475,0.0498,0.973,0.9256,0.58,external_probe:cais/mmlu/all/test,0.0054,0.0767,-0.8687,gap_fabrication_dominant,0.185,0.9778,0.7182,0.9444,0.9733,0.0,0.9834,0.9848,0.9993,4.73,0.37697,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.9857,1.0,0.9667,0.9831,0.0333,1.0,0.9756,,,0.0,0.0333,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9175,0.9686,0.8654,0.9141,0.1032,0.9686,0.88,,,0.0,0.1346,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.967,0.9709,0.9635,0.9672,0.0074,0.9709,0.9598,,,0.0116,0.0365,-0.5164,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9725,0.9615,0.9774,0.9694,-0.0159,0.9615,0.9494,,,0.0,0.0226,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9352,0.9761,0.8756,0.9231,0.1005,0.9761,0.9196,,,0.0068,0.1244,-0.8959,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_32,ablation_rank_sweep_32,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9332,0.938,0.9286,0.9333,0.0094,0.938,0.928,0.562,external_probe:cais/mmlu/all/test,0.0108,0.0714,-0.7377,gap_fabrication_dominant,0.05,0.9111,0.9455,0.9111,0.9867,0.0,0.9773,0.981,1.0,4.784,0.75111,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_32,ablation_rank_sweep_32,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9773,0.981,1.0,4.784,0.75111,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_32,ablation_rank_sweep_32,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9048,0.9623,0.8462,0.9005,0.1161,0.9623,0.8644,,,0.0,0.1538,-1.0,gap_fabrication_dominant,,,,,,,0.9773,0.981,1.0,4.784,0.75111,0.0,,0,deepseek:deepseek-chat
