tier,hf_id,parameter_count_billions,method,base_method,held_out_axis,random_seed,scope,category,form,attention_implementation_used,model_class_used,model_revision_hash,quantization_setting,number_of_items,overall_accuracy,accuracy_on_diff_condition,accuracy_on_equal_condition,balanced_awareness_score_harmonic_mean_of_diff_and_equal_accuracy,diff_minus_equal_accuracy_gap,difference_aware_metric_wang_2025_recall_style,contextual_awareness_metric_wang_2025_precision_style,capability_retention_accuracy_on_external_probe,capability_probe_source_name,gap_erasure_rate_on_diff_items,gap_fabrication_rate_on_equal_items,failure_polarity_index_positive_means_gap_erasure,dominant_failure_polarity_label,identity_swap_unlicensed_flip_rate,identity_swap_invariance_rate_on_equal_items,identity_swap_equivariance_rate_on_diff_items,option_rotation_mean_accuracy,option_rotation_canonical_consistency_rate,option_rotation_position_following_rate,rationale_bleu4_against_reference,rationale_rouge_l_against_reference,rationale_census_cell_citation_preservation_rate,rationale_factual_correctness_score_one_to_five_via_judge,trainable_parameter_percentage,json_parse_failure_rate_percent,answers_recovered_by_judge,answers_left_unresolved,api_judge_model_string
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,frozen_base,frozen_base,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.4072,0.3154,0.4974,0.386,-0.182,0.3154,0.3811,0.402,external_probe:cais/mmlu/all/test,0.4367,0.5026,-0.0703,bipolar_no_dominant_polarity,0.365,0.8,0.6818,0.4622,0.2467,0.1333,0.1383,0.3802,0.0,2.732,,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,frozen_base,frozen_base,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.3429,0.15,0.6,0.24,-0.45,0.15,0.3333,,,0.35,0.4,-0.0667,bipolar_no_dominant_polarity,,,,,,,0.1383,0.3802,0.0,2.732,,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,frozen_base,frozen_base,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.4476,0.3648,0.5321,0.4328,-0.1673,0.3648,0.4427,,,0.4088,0.4679,-0.0675,bipolar_no_dominant_polarity,,,,,,,0.1383,0.3802,0.0,2.732,,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,frozen_base,frozen_base,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.3846,0.3081,0.4531,0.3668,-0.145,0.3081,0.3354,,,0.4826,0.5469,-0.0625,bipolar_no_dominant_polarity,,,,,,,0.1383,0.3802,0.0,2.732,,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,frozen_base,frozen_base,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.5137,0.3718,0.5763,0.452,-0.2045,0.3718,0.2788,,,0.4231,0.4237,-0.0008,bipolar_no_dominant_polarity,,,,,,,0.1383,0.3802,0.0,2.732,,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,frozen_base,frozen_base,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.3522,0.3003,0.4279,0.3529,-0.1275,0.3003,0.4335,,,0.4403,0.5721,-0.1302,bipolar_no_dominant_polarity,,,,,,,0.1383,0.3802,0.0,2.732,,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_condition_adaptive,ablation_no_condition_adaptive,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9413,0.9704,0.9127,0.9406,0.0577,0.9704,0.916,0.574,external_probe:cais/mmlu/all/test,0.0027,0.0873,-0.9401,gap_fabrication_dominant,0.12,0.9222,0.8182,0.9311,0.96,0.0,0.9819,0.9831,1.0,4.73,0.82593,0.0,0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_condition_adaptive,ablation_no_condition_adaptive,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9819,0.9831,1.0,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_condition_adaptive,ablation_no_condition_adaptive,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9238,0.9748,0.8718,0.9204,0.103,0.9748,0.8857,,,0.0,0.1282,-1.0,gap_fabrication_dominant,,,,,,,0.9819,0.9831,1.0,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_condition_adaptive,ablation_no_condition_adaptive,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9451,0.9593,0.9323,0.9456,0.027,0.9593,0.927,,,0.0058,0.0677,-0.8418,gap_fabrication_dominant,,,,,,,0.9819,0.9831,1.0,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_condition_adaptive,ablation_no_condition_adaptive,,42,agrifacts_frozen_test|form:area,all,area,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,255,0.9686,0.9487,0.9774,0.9628,-0.0287,0.9487,0.9487,,,0.0,0.0226,-1.0,gap_fabrication_dominant,,,,,,,0.9819,0.9831,1.0,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_condition_adaptive,ablation_no_condition_adaptive,,42,agrifacts_frozen_test|form:number,all,number,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,494,0.9271,0.9761,0.8557,0.912,0.1204,0.9761,0.9079,,,0.0034,0.1443,-0.9538,gap_fabrication_dominant,,,,,,,0.9819,0.9831,1.0,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_no_rationale_loss,ablation_no_rationale_loss,,42,agrifacts_frozen_test|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,749,0.9413,0.9218,0.9603,0.9407,-0.0385,0.9218,0.958,0.57,external_probe:cais/mmlu/all/test,0.0296,0.0397,-0.1447,bipolar_no_dominant_polarity,0.035,0.9556,0.9545,0.9378,0.9933,0.0,,,,,0.82593,0.0,0,0,deepseek:deepseek-chat
