tier,hf_id,parameter_count_billions,attention_implementation_used,model_class_used,model_revision_hash,overall_accuracy,accuracy_on_diff_condition,accuracy_on_equal_condition,balanced_awareness_score_harmonic_mean_of_diff_and_equal_accuracy,gap_erasure_rate_on_diff_items,gap_fabrication_rate_on_equal_items,failure_polarity_index_positive_means_gap_erasure,dominant_failure_polarity_label,json_parse_failure_rate_percent,answers_recovered_by_judge,answers_left_unresolved
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,0.4446,0.221,0.664,0.3317,0.6199,0.336,0.2971,gap_erasure_dominant,0.0,0,0
broad-instruct,Qwen/Qwen3-4B-Instruct-2507,4.0,flash_attention_2,AutoModelForCausalLM,cdbee75f17c01a7cc42f958dc650907174af0554,0.494,0.7116,0.2804,0.4023,0.124,0.7196,-0.706,gap_fabrication_dominant,0.0,0,0
general-instruct,google/gemma-3-12b-it,12.2,eager,AutoModelForImageTextToText,96b6f1eccf38110c56df3a15bffe176da04bfd80,0.4459,0.7978,0.1005,0.1786,0.0081,0.8995,-0.9822,gap_fabrication_dominant,0.0,0,0
general-instruct-2,mistralai/Ministral-8B-Instruct-2410,8.0,flash_attention_2,AutoModelForCausalLM,2f494a194c5b980dfb9772cb92d26cbb671fce5a,0.4673,0.4636,0.4709,0.4672,0.4205,0.5291,-0.1144,bipolar_no_dominant_polarity,0.0,0,0
