source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Large/number/MvF,AgCensus2015-16,T14-16,All,Large,number,MvF,gender,men,women,4,0,0,4,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Marginal/area/MvF,AgCensus2015-16,T14-16,All,Marginal,area,MvF,gender,men,women,2,0,0,2,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Marginal/number/MvF,AgCensus2015-16,T14-16,All,Marginal,number,MvF,gender,men,women,4,0,4,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Medium/area/MvF,AgCensus2015-16,T14-16,All,Medium,area,MvF,gender,men,women,3,0,0,3,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Medium/number/MvF,AgCensus2015-16,T14-16,All,Medium,number,MvF,gender,men,women,2,2,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Small/area/MvF,AgCensus2015-16,T14-16,All,Small,area,MvF,gender,men,women,6,0,0,6,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/Small/number/MvF,AgCensus2015-16,T14-16,All,Small,number,MvF,gender,men,women,2,0,0,2,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,5,5,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Large/area/MvF,AgCensus2015-16,T14-16,SC,Large,area,MvF,gender,men,women,3,3,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Large/number/MvF,AgCensus2015-16,T14-16,SC,Large,number,MvF,gender,men,women,5,0,0,5,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Marginal/area/MvF,AgCensus2015-16,T14-16,SC,Marginal,area,MvF,gender,men,women,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Marginal/number/MvF,AgCensus2015-16,T14-16,SC,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Medium/area/MvF,AgCensus2015-16,T14-16,SC,Medium,area,MvF,gender,men,women,6,0,0,6,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Medium/number/MvF,AgCensus2015-16,T14-16,SC,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Small/area/MvF,AgCensus2015-16,T14-16,SC,Small,area,MvF,gender,men,women,5,0,5,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/Small/number/MvF,AgCensus2015-16,T14-16,SC,Small,number,MvF,gender,men,women,4,0,0,4,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
