source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsSmall,gender,large operated area,small operated area,6,6,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,2,0,2,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,5,5,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,6,0,0,6,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsSmall,gender,large holdings,small holdings,5,5,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/Large/area/MvF,AgCensus2015-16,T14-16,ST,Large,area,MvF,gender,men,women,5,5,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/Large/number/MvF,AgCensus2015-16,T14-16,ST,Large,number,MvF,gender,men,women,3,0,0,3,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/Marginal/area/MvF,AgCensus2015-16,T14-16,ST,Marginal,area,MvF,gender,men,women,4,4,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/Marginal/number/MvF,AgCensus2015-16,T14-16,ST,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/Medium/number/MvF,AgCensus2015-16,T14-16,ST,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/Small/number/MvF,AgCensus2015-16,T14-16,ST,Small,number,MvF,gender,men,women,5,0,0,5,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,ST,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,ST,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,ST,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,ST,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,6,6,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,A&N Islands,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,A&N Islands,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 A&N Islands/All/area/MarginalvsLarge,AgCensus2015-16,T2-4,A&N Islands,All,area,MarginalvsLarge,landholding,marginal operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,4,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,2,0,2,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,8,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
