tier,method,n_seeds,seeds,novel_B_mean,novel_B_by_seed,erasure_on_diff,wrong_group_on_diff,fabrication_on_equal,invalid
broad-instruct,ablation_no_condition_adaptive,1,42,0.9344,0.9344,0.0,0.0329,0.0962,0.0
broad-instruct,ablation_no_rationale_loss,1,42,0.9122,0.9122,0.0,0.0235,0.1442,0.0
broad-instruct,ablation_placement_uniform,1,42,0.9161,0.9161,0.0,0.0329,0.1298,0.0
broad-instruct,frozen_base,1,42,0.3829,0.3829,0.0704,0.1596,0.7452,0.0
broad-instruct,graft_proposed,3,"42,43,44",0.9315,0.9421;0.9513;0.9011,0.0047,0.0282,0.0817,0.0
cpu-baseline,always_equal,1,20260912,0.0,0.0000,1.0,0.0,0.0,0.0
cpu-baseline,majority,1,20260912,0.0,0.0000,1.0,0.0,0.0,0.0
cpu-baseline,metadata,1,20260912,0.8392,0.8392,0.1033,0.0235,0.1923,0.0
cpu-baseline,tfidf,1,20260912,0.9333,0.9333,0.0235,0.0329,0.0769,0.0
general-instruct,ablation_no_condition_adaptive,1,42,0.9308,0.9308,0.0282,0.0282,0.0817,0.0
general-instruct,ablation_no_rationale_loss,1,42,0.9366,0.9366,0.0047,0.0235,0.0962,0.0
general-instruct,ablation_placement_uniform,1,42,0.9314,0.9314,0.0,0.0282,0.1058,0.0
general-instruct,frozen_base,1,42,0.3046,0.3046,0.0329,0.2347,0.8077,0.0
general-instruct,graft_proposed,3,"42,43,44",0.9071,0.9219;0.9417;0.8576,0.0,0.0376,0.1154,0.0
general-instruct-2,ablation_no_condition_adaptive,1,42,0.9154,0.9154,0.0188,0.0329,0.1154,0.0
general-instruct-2,ablation_no_rationale_loss,1,42,0.9068,0.9068,0.0423,0.0329,0.1106,0.0
general-instruct-2,ablation_placement_uniform,1,42,0.9513,0.9513,0.0047,0.0141,0.0769,0.0
general-instruct-2,frozen_base,1,42,0.4862,0.4862,0.3427,0.1925,0.4904,0.0
general-instruct-2,graft_proposed,3,"42,43,44",0.913,0.9138;0.9271;0.8981,0.0329,0.0329,0.1058,0.0
small-instruct,ablation_no_condition_adaptive,1,42,0.9383,0.9383,0.0,0.0188,0.101,0.0
small-instruct,ablation_no_rationale_loss,1,42,0.9501,0.9501,0.0188,0.0329,0.0481,0.0
small-instruct,ablation_placement_uniform,1,42,0.9493,0.9493,0.0047,0.0235,0.0721,0.0
small-instruct,frozen_base,1,42,0.4212,0.4212,0.4038,0.2676,0.4135,0.0
small-instruct,graft_proposed,3,"42,43,44",0.9486,0.9355;0.9608;0.9496,0.0141,0.0376,0.0769,0.0
