tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family,holm_adjusted_p,significant_after_holm_0_05
broad-instruct,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9161,0.026,[0.026],,0.0043,0.0504,10000,0.0261,10000,localisation,0.3132,False
broad-instruct,graft_proposed,ablation_placement_random,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.949,-0.007,[-0.007],,-0.02,0.0049,10000,0.40366,10000,localisation,1.0,False
broad-instruct,graft_proposed,ablation_placement_random_draw2,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9421,0.0,[0.0],,-0.0135,0.0134,10000,1.0,10000,localisation,1.0,False
broad-instruct,graft_proposed,ablation_placement_random_draw3,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9392,0.0029,[0.0029],,-0.0119,0.018,10000,0.70323,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9314,-0.0095,[-0.0095],,-0.0506,0.0209,10000,0.76822,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_random,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9355,-0.0137,[-0.0137],,-0.0585,0.0138,10000,0.72003,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_random_draw2,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9388,-0.0169,[-0.0169],,-0.0628,0.0139,10000,0.60914,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_random_draw3,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.94,-0.0181,[-0.0181],,-0.0603,0.0134,10000,0.40996,10000,localisation,1.0,False
general-instruct-2,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9513,-0.0374,[-0.0374],,-0.0642,-0.0149,10000,0.002,10000,localisation,0.032,True
general-instruct-2,graft_proposed,ablation_placement_random,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9446,-0.0308,[-0.0308],,-0.0598,-0.0047,10000,0.0401,10000,localisation,0.4411,False
general-instruct-2,graft_proposed,ablation_placement_random_draw2,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9216,-0.0078,[-0.0078],,-0.0337,0.0143,10000,0.55024,10000,localisation,1.0,False
general-instruct-2,graft_proposed,ablation_placement_random_draw3,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9406,-0.0268,[-0.0268],,-0.0524,-0.0064,10000,0.0203,10000,localisation,0.2639,False
small-instruct,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9493,-0.0138,[-0.0138],,-0.029,0.0,10000,0.10809,10000,localisation,0.97281,False
small-instruct,graft_proposed,ablation_placement_random,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9589,-0.0233,[-0.0233],,-0.0387,-0.0102,10000,0.0021,10000,localisation,0.032,True
small-instruct,graft_proposed,ablation_placement_random_draw2,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9516,-0.016,[-0.016],,-0.0335,0.0,10000,0.08549,10000,localisation,0.8549,False
small-instruct,graft_proposed,ablation_placement_random_draw3,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.956,-0.0205,[-0.0205],,-0.0352,-0.0084,10000,0.0046,10000,localisation,0.0644,False
broad-instruct,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.3829,0.5592,[0.5592],,0.4657,0.6672,10000,0.0001,10000,secondary_baselines,0.0044,True
broad-instruct,graft_proposed,reference_vanilla_lora,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9315,0.9324,-0.0009,"[0.0025, 0.0042, -0.0095]",0.0061,-0.0119,0.0081,10000,0.84892,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,reference_vanilla_qlora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9513,-0.0092,[-0.0092],,-0.0208,0.0002,10000,0.19058,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,ablation_rank_sweep_8,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9357,0.0064,[0.0064],,-0.012,0.0247,10000,0.49365,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_dart,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9315,0.9377,-0.0062,"[0.0025, 0.0249, -0.046]",0.0296,-0.0177,0.0041,10000,0.26047,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_fairnet,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9315,0.9157,0.0158,"[0.018, 0.0272, 0.002]",0.0104,0.0029,0.0284,10000,0.0133,10000,secondary_baselines,0.4123,False
broad-instruct,graft_proposed,baseline_fairsteer,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.0189,0.9231,[0.9231],,0.8692,0.9611,10000,0.0001,10000,secondary_baselines,0.0044,True
broad-instruct,graft_proposed,baseline_igu_lora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9568,-0.0148,[-0.0148],,-0.0332,0.0002,10000,0.07459,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_lftf,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.924,0.0181,[0.0181],,0.0005,0.037,10000,0.07889,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_pedal,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9245,0.0176,[0.0176],,-0.0036,0.0387,10000,0.12899,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_regift,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9541,-0.012,[-0.012],,-0.0255,-0.0006,10000,0.07749,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.3046,0.6173,[0.6173],,0.4884,0.7541,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct,graft_proposed,reference_vanilla_lora,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9071,0.9211,-0.014,"[-0.0221, 0.0173, -0.0372]",0.023,-0.0379,0.0062,10000,0.20438,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,reference_vanilla_qlora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9513,-0.0294,[-0.0294],,-0.0739,0.0,10000,0.10489,10000,secondary_baselines,1.0,False
