tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family,holm_adjusted_p,significant_after_holm_0_05
general-instruct,graft_proposed,ablation_rank_sweep_8,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9465,-0.0246,[-0.0246],,-0.0705,0.0077,10000,0.29647,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_dart,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9071,0.9434,-0.0364,"[-0.0116, -0.0029, -0.0947]",0.0414,-0.0609,-0.0175,10000,0.0005,10000,secondary_baselines,0.0165,True
general-instruct,graft_proposed,baseline_fairnet,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9071,0.9269,-0.0198,"[-0.0137, 0.006, -0.0517]",0.024,-0.0424,-0.0006,10000,0.0465,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_fairsteer,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.0,0.9219,[0.9219],,0.8681,0.9597,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct,graft_proposed,baseline_igu_lora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9357,-0.0138,[-0.0138],,-0.0604,0.0192,10000,0.62934,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_lftf,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9446,-0.0227,[-0.0227],,-0.0631,0.0061,10000,0.20278,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_pedal,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9108,0.0111,[0.0111],,-0.041,0.0472,10000,0.73823,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_regift,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.945,-0.0231,[-0.0231],,-0.0742,0.0151,10000,0.30827,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.4862,0.4276,[0.4276],,0.3439,0.5237,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,reference_vanilla_lora,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.913,0.9089,0.0041,"[0.0054, 0.0165, -0.0095]",0.0107,-0.0085,0.0163,10000,0.52265,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,reference_vanilla_qlora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9407,-0.0268,[-0.0268],,-0.0566,-0.0018,10000,0.0408,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,ablation_rank_sweep_8,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9417,-0.0279,[-0.0279],,-0.056,-0.0038,10000,0.0472,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,baseline_dart,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.913,0.8946,0.0184,"[0.075, 0.0044, -0.0243]",0.0417,0.0041,0.0341,10000,0.016,10000,secondary_baselines,0.48,False
general-instruct-2,graft_proposed,baseline_fairnet,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.913,0.8573,0.0557,"[0.1612, 0.0102, -0.0042]",0.0748,0.0305,0.0839,10000,0.0002,10000,secondary_baselines,0.0068,True
general-instruct-2,graft_proposed,baseline_fairsteer,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.5282,0.3856,[0.3856],,0.3115,0.4621,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_igu_lora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9216,-0.0078,[-0.0078],,-0.0342,0.0139,10000,0.51655,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,baseline_lftf,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.7034,0.2104,[0.2104],,0.1586,0.2636,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_pedal,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9015,0.0123,[0.0123],,-0.0153,0.0359,10000,0.42326,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,baseline_regift,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9188,-0.005,[-0.005],,-0.0339,0.02,10000,0.75092,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.4212,0.5143,[0.5143],,0.4424,0.5881,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,reference_vanilla_lora,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9486,0.9151,0.0335,"[-0.0163, 0.0156, 0.1013]",0.0497,0.0172,0.0507,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,reference_vanilla_qlora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9443,-0.0087,[-0.0087],,-0.0261,0.0076,10000,0.42816,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,ablation_rank_sweep_8,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9406,-0.0051,[-0.0051],,-0.0287,0.0168,10000,0.59414,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_dart,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9486,0.9446,0.004,"[-0.0032, 0.018, -0.0028]",0.0099,-0.0059,0.014,10000,0.43966,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_fairnet,structure_novel,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,244,1263,0,0,0.9486,0.9446,0.004,"[-0.007, 0.0073, 0.0118]",0.008,-0.0049,0.0129,10000,0.40176,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_fairsteer,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.4223,0.5132,[0.5132],,0.4355,0.6008,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,baseline_igu_lora,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9353,0.0002,[0.0002],,-0.0219,0.0217,10000,1.0,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_lftf,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.8785,0.0571,[0.0571],,0.0183,0.1024,10000,0.0015,10000,secondary_baselines,0.048,True
small-instruct,graft_proposed,baseline_pedal,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9392,-0.0036,[-0.0036],,-0.0197,0.0117,10000,0.77722,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_regift,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9468,-0.0113,[-0.0113],,-0.028,0.0049,10000,0.25607,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.0,0.9421,,,0.9137,0.9657,,0.0001,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.0,0.9421,,,0.9137,0.9657,,0.0001,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.8392,0.1029,,,0.0478,0.1707,,0.0003,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.9333,0.0088,,,-0.0161,0.0317,,0.53935,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.0,0.9219,,,0.8681,0.9597,,0.0001,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.0,0.9219,,,0.8681,0.9597,,0.0001,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.8392,0.0827,,,0.0346,0.1388,,0.0015,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.9333,-0.0114,,,-0.061,0.0256,,0.69953,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.0,0.9138,,,0.875,0.9463,,0.0001,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.0,0.9138,,,0.875,0.9463,,0.0001,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.8392,0.0746,,,0.0311,0.1278,,0.0011,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.9333,-0.0194,,,-0.0519,0.0094,,0.23688,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.0,0.9355,,,0.9078,0.9596,,0.0001,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.0,0.9355,,,0.9078,0.9596,,0.0001,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.8392,0.0964,,,0.0411,0.1628,,0.0006,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.9333,0.0023,,,-0.0192,0.023,,0.90701,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9204,0.0168,[0.0168],,-0.0012,0.0352,10000,0.07379,10000,localisation,0.51653,False
broad-instruct,graft_proposed,ablation_placement_random,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9518,-0.0146,[-0.0146],,-0.0266,-0.0039,10000,0.0144,10000,localisation,0.1296,False
broad-instruct,graft_proposed,ablation_placement_random_draw2,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9453,-0.008,[-0.008],,-0.0209,0.0041,10000,0.20718,10000,localisation,1.0,False
broad-instruct,graft_proposed,ablation_placement_random_draw3,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9385,-0.0013,[-0.0013],,-0.016,0.0129,10000,0.94871,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9356,-0.0118,[-0.0118],,-0.0355,0.0067,10000,0.34807,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_random,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9332,-0.0094,[-0.0094],,-0.0343,0.0077,10000,0.41606,10000,localisation,1.0,False
general-instruct,graft_proposed,ablation_placement_random_draw2,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9461,-0.0223,[-0.0223],,-0.0489,-0.0031,10000,0.0328,10000,localisation,0.2624,False
general-instruct,graft_proposed,ablation_placement_random_draw3,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9362,-0.0124,[-0.0124],,-0.0374,0.0075,10000,0.30457,10000,localisation,1.0,False
general-instruct-2,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9479,-0.0374,[-0.0374],,-0.0558,-0.0211,10000,0.0001,10000,localisation,0.0016,True
general-instruct-2,graft_proposed,ablation_placement_random,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9386,-0.0281,[-0.0281],,-0.0497,-0.008,10000,0.0065,10000,localisation,0.0715,False
general-instruct-2,graft_proposed,ablation_placement_random_draw2,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9194,-0.009,[-0.009],,-0.0256,0.0062,10000,0.33637,10000,localisation,1.0,False
general-instruct-2,graft_proposed,ablation_placement_random_draw3,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.933,-0.0225,[-0.0225],,-0.0375,-0.0097,10000,0.0013,10000,localisation,0.0169,True
small-instruct,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9466,-0.0134,[-0.0134],,-0.0247,-0.0028,10000,0.011,10000,localisation,0.11,False
small-instruct,graft_proposed,ablation_placement_random,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9585,-0.0253,[-0.0253],,-0.0379,-0.0138,10000,0.0001,10000,localisation,0.0016,True
small-instruct,graft_proposed,ablation_placement_random_draw2,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9532,-0.02,[-0.02],,-0.0341,-0.0067,10000,0.0058,10000,localisation,0.0696,False
small-instruct,graft_proposed,ablation_placement_random_draw3,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9532,-0.02,[-0.02],,-0.0326,-0.0086,10000,0.0011,10000,localisation,0.0154,True
broad-instruct,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.3434,0.5939,[0.5939],,0.5132,0.6801,10000,0.0001,10000,secondary_baselines,0.0044,True
broad-instruct,graft_proposed,reference_vanilla_lora,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9355,0.9345,0.001,"[0.0014, 0.0092, -0.0077]",0.0069,-0.0076,0.0091,10000,0.80302,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,reference_vanilla_qlora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9491,-0.0119,[-0.0119],,-0.0237,-0.0012,10000,0.05829,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,ablation_rank_sweep_8,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9402,-0.0029,[-0.0029],,-0.0193,0.0119,10000,0.74163,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_dart,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9355,0.9376,-0.0021,"[0.004, 0.0229, -0.0331]",0.0233,-0.0113,0.0066,10000,0.69063,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_fairnet,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9355,0.9137,0.0218,"[0.0126, 0.045, 0.0077]",0.0165,0.011,0.0331,10000,0.0002,10000,secondary_baselines,0.0058,True
broad-instruct,graft_proposed,baseline_fairsteer,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.0105,0.9267,[0.9267],,0.8957,0.9517,10000,0.0001,10000,secondary_baselines,0.0044,True
broad-instruct,graft_proposed,baseline_igu_lora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9506,-0.0134,[-0.0134],,-0.0278,0.0002,10000,0.0379,10000,secondary_baselines,0.9096,False
broad-instruct,graft_proposed,baseline_lftf,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9237,0.0135,[0.0135],,-0.0025,0.0299,10000,0.06479,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_pedal,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9287,0.0085,[0.0085],,-0.0094,0.0254,10000,0.31877,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,baseline_regift,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9546,-0.0173,[-0.0173],,-0.0298,-0.0059,10000,0.0036,10000,secondary_baselines,0.0972,False
general-instruct,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.2445,0.6793,[0.6793],,0.5781,0.7871,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct,graft_proposed,reference_vanilla_lora,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9078,0.9201,-0.0123,"[-0.0251, 0.0176, -0.0293]",0.0212,-0.0311,0.0044,10000,0.14489,10000,secondary_baselines,1.0,False
