tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family
broad-instruct,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9421,0.9161,0.026,[0.026],,0.0051,0.0513,10000,0.12379,10000,localisation_sensitivity_state_blind_key
broad-instruct,graft_proposed,ablation_placement_random,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9421,0.949,-0.007,[-0.007],,-0.0248,0.0027,10000,0.50825,10000,localisation_sensitivity_state_blind_key
broad-instruct,graft_proposed,ablation_placement_random_draw2,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9421,0.9421,0.0,[0.0],,-0.0192,0.0116,10000,1.0,10000,localisation_sensitivity_state_blind_key
broad-instruct,graft_proposed,ablation_placement_random_draw3,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9421,0.9392,0.0029,[0.0029],,-0.0126,0.0145,10000,0.84622,10000,localisation_sensitivity_state_blind_key
general-instruct,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9219,0.9314,-0.0095,[-0.0095],,-0.0863,0.0261,10000,0.75492,10000,localisation_sensitivity_state_blind_key
general-instruct,graft_proposed,ablation_placement_random,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9219,0.9355,-0.0137,[-0.0137],,-0.0864,0.0143,10000,0.9687,10000,localisation_sensitivity_state_blind_key
general-instruct,graft_proposed,ablation_placement_random_draw2,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9219,0.9388,-0.0169,[-0.0169],,-0.0932,0.0143,10000,0.69693,10000,localisation_sensitivity_state_blind_key
general-instruct,graft_proposed,ablation_placement_random_draw3,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9219,0.94,-0.0181,[-0.0181],,-0.1022,0.0203,10000,0.68153,10000,localisation_sensitivity_state_blind_key
general-instruct-2,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9138,0.9513,-0.0374,[-0.0374],,-0.0858,-0.0059,10000,0.12379,10000,localisation_sensitivity_state_blind_key
general-instruct-2,graft_proposed,ablation_placement_random,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9138,0.9446,-0.0308,[-0.0308],,-0.0751,-0.0068,10000,0.06539,10000,localisation_sensitivity_state_blind_key
general-instruct-2,graft_proposed,ablation_placement_random_draw2,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9138,0.9216,-0.0078,[-0.0078],,-0.0578,0.0166,10000,0.90611,10000,localisation_sensitivity_state_blind_key
general-instruct-2,graft_proposed,ablation_placement_random_draw3,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9138,0.9406,-0.0268,[-0.0268],,-0.0907,0.0016,10000,0.06479,10000,localisation_sensitivity_state_blind_key
small-instruct,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9355,0.9493,-0.0138,[-0.0138],,-0.0257,-0.0055,10000,0.0334,10000,localisation_sensitivity_state_blind_key
small-instruct,graft_proposed,ablation_placement_random,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9355,0.9589,-0.0233,[-0.0233],,-0.0427,-0.0086,10000,0.0172,10000,localisation_sensitivity_state_blind_key
small-instruct,graft_proposed,ablation_placement_random_draw2,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9355,0.9516,-0.016,[-0.016],,-0.0339,-0.0003,10000,0.09139,10000,localisation_sensitivity_state_blind_key
small-instruct,graft_proposed,ablation_placement_random_draw3,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9355,0.956,-0.0205,[-0.0205],,-0.0383,-0.0065,10000,0.0356,10000,localisation_sensitivity_state_blind_key
