method_name,base_model_name,base_model_revision_hash,weight_update_type,lora_rank_budget,fraction_of_analyzed_matrices_adapted,module_coverage_fraction,bf16_aware_update_sparsity_mean,principal_angle_rotation_left_subspace_mean_degrees,principal_angle_rotation_right_subspace_mean_degrees,principal_angle_rotation_max_degrees,normalized_spectral_shift_mean,update_mask_overlap_with_principal_mask_mean,update_mask_overlap_with_low_magnitude_mask_mean,stable_rank_of_update_mean,frobenius_norm_of_update_mean,relative_frobenius_drift_mean,hill_tail_exponent_mean,parameter_space_regime_label,regime_anchor_method_name,contextual_awareness_metric_post_repair,difference_aware_metric_post_repair,contextual_awareness_preservation_relative_to_base,trainable_parameter_percentage,number_of_analyzed_matrices,quantization_setting,random_seed
baseline_regift,general-instruct,unknown,merged_low_rank_adapter_update,24-25,0.0962,0.6733,0.07134,0.8859,0.8948,66.19,0.00197,0.4964,0.5245,2.2173,2.391221,0.034443,1.7584,relaxed_off_principal,reference_vanilla_lora,0.9717,0.9245,2.0767,0.8000489688755357,48,bf16_full,42
graft_proposed,general-instruct,unknown,merged_low_rank_adapter_update,10-64,0.0962,0.4208,0.066923,1.1055,1.1253,67.2394,0.004115,0.4969,0.5238,2.2636,2.983679,0.043258,1.3858,relaxed_off_principal,reference_vanilla_lora,0.8806,0.956,1.882,0.8000489688755357,48,bf16_full,42
graft_proposed,general-instruct,unknown,merged_low_rank_adapter_update,10-64,0.0962,0.4208,0.066382,1.1036,1.1248,70.8864,0.003822,0.4969,0.5236,2.2296,3.046718,0.043775,1.3785,relaxed_off_principal,reference_vanilla_lora,0.8806,0.956,1.882,0.8000489688755357,48,bf16_full,43
graft_proposed,general-instruct,unknown,merged_low_rank_adapter_update,10-64,0.0962,0.4208,0.064906,1.1375,1.159,68.8392,0.004136,0.497,0.5231,2.3662,3.04347,0.043953,1.4222,relaxed_off_principal,reference_vanilla_lora,0.8806,0.956,1.882,0.8000489688755357,48,bf16_full,44
graft_proposed_loao_gender,general-instruct,unknown,merged_low_rank_adapter_update,10-64,0.0962,0.4208,0.070103,1.0676,1.0877,67.3336,0.003712,0.4967,0.5249,2.2279,2.857415,0.041437,1.4539,relaxed_off_principal,reference_vanilla_lora,,,,0.802113925505246,48,bf16_full,42
graft_proposed_loao_landholding,general-instruct,unknown,merged_low_rank_adapter_update,12-64,0.0962,0.4208,0.097707,0.7314,0.7472,50.6775,0.001171,0.4954,0.5351,2.4629,1.885813,0.02682,1.777,relaxed_off_principal,reference_vanilla_lora,,,,0.8206946673053399,48,bf16_full,42
graft_proposed_loao_social_group,general-instruct,unknown,merged_low_rank_adapter_update,11-64,0.0962,0.3928,0.087578,0.8109,0.8281,61.2467,0.001815,0.4962,0.5312,2.0839,2.07297,0.031669,1.6817,relaxed_off_principal,reference_vanilla_lora,,,,0.7704418071608028,48,bf16_full,42
graft_proposed_qlora_nf4,general-instruct,unknown,merged_low_rank_adapter_update,10-64,0.0962,0.4208,0.068024,1.1114,1.1312,67.4706,0.003387,0.4969,0.5242,2.2673,2.942635,0.042238,1.4211,relaxed_off_principal,reference_vanilla_lora,0.9098,0.9515,1.9444,1.466835070430222,48,nf4_4bit,42
reference_vanilla_lora,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.26228,0.3215,0.3232,44.4022,0.000396,0.4939,0.5487,1.4326,1.229874,0.016294,0.0678,relaxed_off_principal,reference_vanilla_lora,0.9064,0.9353,1.9372,0.2800644342059466,48,bf16_full,42
reference_vanilla_lora,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.266585,0.302,0.3034,40.8617,0.000338,0.4937,0.5508,1.4776,1.15697,0.015352,0.0674,relaxed_off_principal,reference_vanilla_lora,0.9064,0.9353,1.9372,0.2800644342059466,48,bf16_full,43
reference_vanilla_lora,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.268427,0.296,0.297,40.0854,0.000385,0.4938,0.5513,1.5029,1.195198,0.015586,0.0677,relaxed_off_principal,reference_vanilla_lora,0.9064,0.9353,1.9372,0.2800644342059466,48,bf16_full,44
reference_vanilla_lora_loao_gender,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.2659,0.3127,0.3139,43.2764,0.000354,0.4937,0.5504,1.4349,1.206541,0.015873,0.0676,relaxed_off_principal,reference_vanilla_lora,,,,0.2800644342059466,48,bf16_full,42
reference_vanilla_lora_loao_landholding,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.311149,0.1963,0.1971,24.1036,0.000145,0.4912,0.5726,1.5823,0.77431,0.010153,0.0671,off_principal_and_spectrum_preserving,reference_vanilla_lora,,,,0.2800644342059466,48,bf16_full,42
reference_vanilla_lora_loao_social_group,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.303295,0.2202,0.2213,29.974,0.000167,0.492,0.568,1.4516,0.838387,0.011075,0.0674,off_principal_and_spectrum_preserving,reference_vanilla_lora,,,,0.2800644342059466,48,bf16_full,42
reference_vanilla_qlora,general-instruct,unknown,merged_low_rank_adapter_update,8,0.0962,0.6733,0.266758,0.3135,0.3151,42.057,0.000294,0.4937,0.5507,1.4587,1.186838,0.015417,0.0675,relaxed_off_principal,reference_vanilla_lora,0.9399,0.9704,2.0088,0.5157320485432154,48,nf4_4bit,42
