method_name,base_model_name,random_seed,layer_index,module_type,matrix_name,bf16_aware_update_sparsity,principal_angle_rotation_left_subspace_degrees,principal_angle_rotation_right_subspace_degrees,normalized_spectral_shift,update_mask_overlap_with_principal_mask,update_mask_overlap_with_low_magnitude_mask,stable_rank_of_update,frobenius_norm_of_update,relative_frobenius_drift,hill_tail_exponent
ablation_no_condition_adaptive,small-instruct,42,0,gate_proj,base_model.model.model.layers.0.mlp.gate_proj,0.041096,2.159362,1.997723,0.001121,0.498983,0.514423,4.888259,4.250451,0.045242,2.674716
ablation_no_condition_adaptive,small-instruct,42,0,down_proj,base_model.model.model.layers.0.mlp.down_proj,0.046036,1.683826,1.785156,0.00246,0.498991,0.514263,1.59016,4.126605,0.046803,1.653318
ablation_no_condition_adaptive,small-instruct,42,1,q_proj,base_model.model.model.layers.1.self_attn.q_proj,0.056655,0.782165,0.841238,0.000708,0.492267,0.522189,4.257641,2.610487,0.030706,1.62825
ablation_no_condition_adaptive,small-instruct,42,1,k_proj,base_model.model.model.layers.1.self_attn.k_proj,0.078257,0.346959,0.519799,0.000581,0.48742,0.52983,2.569526,1.409433,0.022075,1.560002
ablation_no_condition_adaptive,small-instruct,42,1,o_proj,base_model.model.model.layers.1.self_attn.o_proj,0.029675,1.886758,1.912639,0.002132,0.499041,0.509848,3.202997,2.648013,0.062184,2.099912
ablation_no_condition_adaptive,small-instruct,42,2,v_proj,base_model.model.model.layers.2.self_attn.v_proj,0.032648,1.0701,1.309014,0.002149,0.497554,0.51144,1.968645,1.286734,0.062345,1.420904
ablation_no_condition_adaptive,small-instruct,42,2,gate_proj,base_model.model.model.layers.2.mlp.gate_proj,0.04742,1.732462,1.59399,0.000841,0.498931,0.516681,5.701446,3.722534,0.038829,2.910885
ablation_no_condition_adaptive,small-instruct,42,2,up_proj,base_model.model.model.layers.2.mlp.up_proj,0.044248,2.192268,2.055151,0.000956,0.499343,0.513955,6.774419,3.656759,0.041517,2.956862
ablation_no_condition_adaptive,small-instruct,42,2,down_proj,base_model.model.model.layers.2.mlp.down_proj,0.052514,1.465845,1.59205,0.000744,0.499138,0.516299,3.998124,3.184107,0.035931,1.8742
ablation_no_condition_adaptive,small-instruct,42,3,q_proj,base_model.model.model.layers.3.self_attn.q_proj,0.06217,0.808624,0.815121,0.000636,0.495816,0.521663,3.644627,2.269881,0.029721,1.840971
ablation_no_condition_adaptive,small-instruct,42,3,k_proj,base_model.model.model.layers.3.self_attn.k_proj,0.081532,0.389955,0.503588,0.00074,0.491649,0.529534,3.08505,1.296751,0.022838,1.750224
ablation_no_condition_adaptive,small-instruct,42,3,o_proj,base_model.model.model.layers.3.self_attn.o_proj,0.03979,1.479898,1.487587,0.00126,0.498715,0.51266,3.477592,2.181818,0.048197,1.841302
ablation_no_condition_adaptive,small-instruct,42,4,up_proj,base_model.model.model.layers.4.mlp.up_proj,0.043135,2.273389,2.153973,0.001314,0.499492,0.513872,3.7468,3.731377,0.043816,2.079806
ablation_no_condition_adaptive,small-instruct,42,4,down_proj,base_model.model.model.layers.4.mlp.down_proj,0.053996,1.428289,1.545737,0.000725,0.499063,0.517045,4.773106,2.949087,0.034783,1.750383
ablation_no_condition_adaptive,small-instruct,42,5,k_proj,base_model.model.model.layers.5.self_attn.k_proj,0.093786,0.316482,0.408102,0.000514,0.490095,0.53365,3.96152,1.12159,0.019646,1.827644
ablation_no_condition_adaptive,small-instruct,42,5,v_proj,base_model.model.model.layers.5.self_attn.v_proj,0.038731,0.940906,1.135146,0.001616,0.497436,0.512915,3.075329,1.089747,0.051333,1.567922
ablation_no_condition_adaptive,small-instruct,42,5,o_proj,base_model.model.model.layers.5.self_attn.o_proj,0.041085,1.241946,1.257414,0.001202,0.498304,0.514207,4.478735,1.920636,0.045679,1.929774
ablation_no_condition_adaptive,small-instruct,42,5,gate_proj,base_model.model.model.layers.5.mlp.gate_proj,0.05123,1.370681,1.259901,0.000852,0.498403,0.516449,2.793553,3.896026,0.037931,2.195772
