method_name,base_model_name,random_seed,layer_index,module_type,matrix_name,bf16_aware_update_sparsity,principal_angle_rotation_left_subspace_degrees,principal_angle_rotation_right_subspace_degrees,normalized_spectral_shift,update_mask_overlap_with_principal_mask,update_mask_overlap_with_low_magnitude_mask,stable_rank_of_update,frobenius_norm_of_update,relative_frobenius_drift,hill_tail_exponent
ablation_no_condition_adaptive,small-instruct,42,6,q_proj,base_model.model.model.layers.6.self_attn.q_proj,0.070111,0.610504,0.606692,0.000532,0.494207,0.526134,4.300266,1.999351,0.025804,2.529676
ablation_no_condition_adaptive,small-instruct,42,6,up_proj,base_model.model.model.layers.6.mlp.up_proj,0.049404,1.844465,1.741372,0.000905,0.49946,0.516161,3.567591,3.292757,0.038245,2.310004
ablation_no_condition_adaptive,small-instruct,42,6,down_proj,base_model.model.model.layers.6.mlp.down_proj,0.059511,1.098515,1.205125,0.000765,0.498776,0.519891,2.308276,2.857368,0.03345,1.816058
ablation_no_condition_adaptive,small-instruct,42,7,k_proj,base_model.model.model.layers.7.self_attn.k_proj,0.081203,0.370068,0.455557,0.000822,0.491506,0.529361,1.634387,1.501984,0.02598,1.341446
ablation_no_condition_adaptive,small-instruct,42,7,v_proj,base_model.model.model.layers.7.self_attn.v_proj,0.037041,0.957466,1.143421,0.001714,0.497703,0.512972,2.273082,1.177142,0.053855,1.380592
ablation_no_condition_adaptive,small-instruct,42,7,o_proj,base_model.model.model.layers.7.self_attn.o_proj,0.042377,1.119406,1.135733,0.001157,0.49785,0.514963,4.477087,1.932445,0.04397,1.739612
ablation_no_condition_adaptive,small-instruct,42,7,gate_proj,base_model.model.model.layers.7.mlp.gate_proj,0.050339,1.182667,1.079778,0.001335,0.498221,0.517577,1.645667,4.172384,0.042305,1.95526
ablation_no_condition_adaptive,small-instruct,42,8,q_proj,base_model.model.model.layers.8.self_attn.q_proj,0.074414,0.517166,0.512903,0.000527,0.493314,0.527445,2.986448,1.869501,0.024972,1.580328
ablation_no_condition_adaptive,small-instruct,42,8,up_proj,base_model.model.model.layers.8.mlp.up_proj,0.059416,1.3035,1.222842,0.000643,0.499091,0.520077,3.230755,2.777946,0.032295,2.27243
ablation_no_condition_adaptive,small-instruct,42,9,k_proj,base_model.model.model.layers.9.self_attn.k_proj,0.112797,0.261768,0.325617,0.000436,0.48574,0.541923,3.269553,0.920155,0.016377,1.724536
ablation_no_condition_adaptive,small-instruct,42,9,gate_proj,base_model.model.model.layers.9.mlp.gate_proj,0.062492,0.865989,0.79125,0.00072,0.497526,0.520489,1.815175,3.287609,0.03355,1.883237
ablation_no_condition_adaptive,small-instruct,42,9,down_proj,base_model.model.model.layers.9.mlp.down_proj,0.080351,0.708082,0.768048,0.000487,0.497546,0.527125,1.765303,2.255821,0.026154,1.485005
ablation_no_condition_adaptive,small-instruct,42,10,q_proj,base_model.model.model.layers.10.self_attn.q_proj,0.094233,0.349952,0.345069,0.000399,0.492131,0.533513,2.352326,1.498129,0.020552,1.793874
ablation_no_condition_adaptive,small-instruct,42,10,v_proj,base_model.model.model.layers.10.self_attn.v_proj,0.052892,0.680772,0.791208,0.001036,0.496556,0.518153,2.925535,0.795635,0.037841,1.399283
ablation_no_condition_adaptive,small-instruct,42,10,o_proj,base_model.model.model.layers.10.self_attn.o_proj,0.055597,0.666606,0.685042,0.000798,0.49692,0.520045,3.793798,1.5063,0.034652,1.405251
ablation_no_condition_adaptive,small-instruct,42,10,up_proj,base_model.model.model.layers.10.mlp.up_proj,0.068694,1.028225,0.963,0.000502,0.498837,0.523381,3.081268,2.489174,0.028328,1.874508
ablation_no_condition_adaptive,small-instruct,42,11,k_proj,base_model.model.model.layers.11.self_attn.k_proj,0.130046,0.202201,0.247642,0.00049,0.485862,0.545401,2.611282,0.803692,0.014763,1.643814
ablation_no_condition_adaptive,small-instruct,42,11,gate_proj,base_model.model.model.layers.11.mlp.gate_proj,0.062334,0.727664,0.666127,0.001313,0.497437,0.521132,1.292257,3.650223,0.039021,1.599077
ablation_no_condition_adaptive,small-instruct,42,11,down_proj,base_model.model.model.layers.11.mlp.down_proj,0.098896,0.52612,0.572095,0.000323,0.497303,0.533837,2.071909,1.836748,0.02097,1.287846
ablation_no_condition_adaptive,small-instruct,42,12,q_proj,base_model.model.model.layers.12.self_attn.q_proj,0.113958,0.256437,0.253244,0.000319,0.487784,0.542696,2.758304,1.21967,0.01656,1.647496
ablation_no_condition_adaptive,small-instruct,42,12,o_proj,base_model.model.model.layers.12.self_attn.o_proj,0.079542,0.450273,0.460682,0.000502,0.496442,0.526854,2.482697,1.114701,0.025055,1.251849
ablation_no_condition_adaptive,small-instruct,42,12,up_proj,base_model.model.model.layers.12.mlp.up_proj,0.084318,0.742374,0.700717,0.000519,0.498333,0.528425,1.65473,2.30552,0.025663,1.478681
ablation_no_condition_adaptive,small-instruct,42,13,q_proj,base_model.model.model.layers.13.self_attn.q_proj,0.128014,0.219729,0.218859,0.000266,0.487824,0.548334,3.314286,1.03833,0.014518,1.472237
ablation_no_condition_adaptive,small-instruct,42,13,k_proj,base_model.model.model.layers.13.self_attn.k_proj,0.156553,0.178704,0.212418,0.000635,0.479651,0.559763,1.927275,0.677078,0.012312,1.881545
ablation_no_condition_adaptive,small-instruct,42,13,v_proj,base_model.model.model.layers.13.self_attn.v_proj,0.074438,0.407544,0.469961,0.00072,0.494352,0.526803,1.623111,0.673104,0.029134,1.020226
ablation_no_condition_adaptive,small-instruct,42,13,o_proj,base_model.model.model.layers.13.self_attn.o_proj,0.08246,0.354468,0.363548,0.000478,0.495772,0.528423,2.44398,1.110184,0.024428,1.306722
ablation_no_condition_adaptive,small-instruct,42,13,gate_proj,base_model.model.model.layers.13.mlp.gate_proj,0.074698,0.439198,0.398009,0.002092,0.497751,0.524813,1.055797,4.004748,0.042372,1.197322
ablation_no_condition_adaptive,small-instruct,42,13,up_proj,base_model.model.model.layers.13.mlp.up_proj,0.079473,0.676659,0.638577,0.000921,0.498297,0.52727,1.372648,2.73101,0.030387,1.082245
ablation_no_condition_adaptive,small-instruct,42,13,down_proj,base_model.model.model.layers.13.mlp.down_proj,0.12097,0.455365,0.482088,0.000297,0.497343,0.54217,1.704115,1.653032,0.018698,1.066702
ablation_no_rationale_loss,small-instruct,42,0,gate_proj,base_model.model.model.layers.0.mlp.gate_proj,0.047059,1.756306,1.622068,0.000989,0.498764,0.516316,3.035729,3.835094,0.040821,2.401804
ablation_no_rationale_loss,small-instruct,42,0,down_proj,base_model.model.model.layers.0.mlp.down_proj,0.049792,1.476095,1.572936,0.002154,0.499006,0.515475,1.523536,3.968749,0.045013,1.440901
ablation_no_rationale_loss,small-instruct,42,1,q_proj,base_model.model.model.layers.1.self_attn.q_proj,0.050352,0.899142,0.951815,0.000923,0.492704,0.520316,3.31548,3.096005,0.036417,1.25482
ablation_no_rationale_loss,small-instruct,42,1,k_proj,base_model.model.model.layers.1.self_attn.k_proj,0.080129,0.349804,0.51465,0.000647,0.486188,0.531259,2.941412,1.44153,0.022578,1.296552
ablation_no_rationale_loss,small-instruct,42,1,o_proj,base_model.model.model.layers.1.self_attn.o_proj,0.029432,1.97051,2.00726,0.002019,0.499048,0.509784,4.586501,2.614676,0.061401,2.289156
ablation_no_rationale_loss,small-instruct,42,2,v_proj,base_model.model.model.layers.2.self_attn.v_proj,0.031429,1.17488,1.421453,0.002424,0.497541,0.511114,1.926877,1.363471,0.066063,1.391662
ablation_no_rationale_loss,small-instruct,42,2,gate_proj,base_model.model.model.layers.2.mlp.gate_proj,0.052516,1.700607,1.581122,0.000675,0.498788,0.518347,9.706,3.348706,0.03493,3.374165
ablation_no_rationale_loss,small-instruct,42,2,up_proj,base_model.model.model.layers.2.mlp.up_proj,0.050121,1.90506,1.790654,0.000728,0.499242,0.51585,9.695405,3.221521,0.036575,3.104357
ablation_no_rationale_loss,small-instruct,42,2,down_proj,base_model.model.model.layers.2.mlp.down_proj,0.059837,1.26885,1.374735,0.000627,0.498979,0.5187,2.975326,2.869337,0.032379,1.61546
ablation_no_rationale_loss,small-instruct,42,3,q_proj,base_model.model.model.layers.3.self_attn.q_proj,0.069036,0.716854,0.724379,0.000542,0.495488,0.523936,4.131249,2.026161,0.02653,2.09821
ablation_no_rationale_loss,small-instruct,42,3,k_proj,base_model.model.model.layers.3.self_attn.k_proj,0.087445,0.356791,0.468472,0.000675,0.491107,0.531516,4.015144,1.189528,0.02095,1.967542
ablation_no_rationale_loss,small-instruct,42,3,o_proj,base_model.model.model.layers.3.self_attn.o_proj,0.036416,1.740798,1.757888,0.001402,0.49879,0.511613,4.236705,2.321769,0.051289,1.777506
ablation_no_rationale_loss,small-instruct,42,4,up_proj,base_model.model.model.layers.4.mlp.up_proj,0.048407,2.075225,1.969495,0.000843,0.499399,0.515624,6.639981,3.248513,0.038146,2.693046
ablation_no_rationale_loss,small-instruct,42,4,down_proj,base_model.model.model.layers.4.mlp.down_proj,0.058594,1.316679,1.416416,0.000643,0.499004,0.518599,4.961803,2.768311,0.03265,1.430462
ablation_no_rationale_loss,small-instruct,42,5,k_proj,base_model.model.model.layers.5.self_attn.k_proj,0.099137,0.2881,0.366623,0.00048,0.489199,0.536018,2.363062,1.090568,0.019102,1.544828
ablation_no_rationale_loss,small-instruct,42,5,v_proj,base_model.model.model.layers.5.self_attn.v_proj,0.038038,0.956942,1.155288,0.001778,0.497588,0.512662,1.975437,1.145807,0.053974,1.667813
ablation_no_rationale_loss,small-instruct,42,5,o_proj,base_model.model.model.layers.5.self_attn.o_proj,0.042985,1.164953,1.189247,0.001065,0.498067,0.514781,5.82806,1.80937,0.043033,1.914385
ablation_no_rationale_loss,small-instruct,42,5,gate_proj,base_model.model.model.layers.5.mlp.gate_proj,0.053269,1.381813,1.271952,0.000732,0.498381,0.517147,3.33595,3.673901,0.035769,2.579266
ablation_no_rationale_loss,small-instruct,42,6,q_proj,base_model.model.model.layers.6.self_attn.q_proj,0.073369,0.562024,0.555445,0.000547,0.493828,0.527401,2.435873,2.057242,0.026551,1.618191
ablation_no_rationale_loss,small-instruct,42,6,up_proj,base_model.model.model.layers.6.mlp.up_proj,0.052752,1.670062,1.581189,0.00074,0.499369,0.517232,4.398399,3.064607,0.035595,2.625256
ablation_no_rationale_loss,small-instruct,42,6,down_proj,base_model.model.model.layers.6.mlp.down_proj,0.066731,0.98363,1.077211,0.000658,0.498596,0.522338,1.969863,2.644375,0.030957,1.608032
ablation_no_rationale_loss,small-instruct,42,7,k_proj,base_model.model.model.layers.7.self_attn.k_proj,0.093875,0.308119,0.389596,0.00064,0.489363,0.533972,2.87188,1.200236,0.020761,1.422793
ablation_no_rationale_loss,small-instruct,42,7,v_proj,base_model.model.model.layers.7.self_attn.v_proj,0.040363,0.945136,1.131734,0.001422,0.497341,0.514196,2.998769,1.044823,0.047801,1.774354
ablation_no_rationale_loss,small-instruct,42,7,o_proj,base_model.model.model.layers.7.self_attn.o_proj,0.043827,1.047072,1.070994,0.00119,0.497688,0.515451,2.285796,1.96521,0.044715,1.76558
ablation_no_rationale_loss,small-instruct,42,7,gate_proj,base_model.model.model.layers.7.mlp.gate_proj,0.056321,1.280669,1.18186,0.000651,0.497923,0.519566,4.690557,3.294847,0.033408,2.308347
ablation_no_rationale_loss,small-instruct,42,8,q_proj,base_model.model.model.layers.8.self_attn.q_proj,0.085088,0.482303,0.481157,0.000455,0.492201,0.531426,2.810284,1.649889,0.022038,1.839628
ablation_no_rationale_loss,small-instruct,42,8,up_proj,base_model.model.model.layers.8.mlp.up_proj,0.061666,1.284789,1.210817,0.000533,0.499011,0.520784,4.980266,2.606623,0.030303,2.174546
ablation_no_rationale_loss,small-instruct,42,9,k_proj,base_model.model.model.layers.9.self_attn.k_proj,0.106311,0.266229,0.334297,0.000472,0.486987,0.538885,2.728766,1.016033,0.018083,1.463394
ablation_no_rationale_loss,small-instruct,42,9,gate_proj,base_model.model.model.layers.9.mlp.gate_proj,0.068888,0.902822,0.833534,0.000467,0.497207,0.522673,4.075395,2.679531,0.027345,2.608698
ablation_no_rationale_loss,small-instruct,42,9,down_proj,base_model.model.model.layers.9.mlp.down_proj,0.090402,0.635633,0.696474,0.000347,0.497191,0.530712,2.882143,1.873163,0.021717,1.362017
ablation_no_rationale_loss,small-instruct,42,10,q_proj,base_model.model.model.layers.10.self_attn.q_proj,0.094877,0.384698,0.380841,0.000424,0.49193,0.533662,1.911277,1.536788,0.021082,1.799042
ablation_no_rationale_loss,small-instruct,42,10,v_proj,base_model.model.model.layers.10.self_attn.v_proj,0.054432,0.669523,0.780755,0.000994,0.496434,0.518646,3.406586,0.762994,0.036288,1.745306
ablation_no_rationale_loss,small-instruct,42,10,o_proj,base_model.model.model.layers.10.self_attn.o_proj,0.058928,0.788553,0.808177,0.000771,0.496646,0.521236,2.272283,1.478021,0.034002,1.654387
ablation_no_rationale_loss,small-instruct,42,10,up_proj,base_model.model.model.layers.10.mlp.up_proj,0.071365,1.00922,0.949922,0.000444,0.498764,0.524328,4.572615,2.343187,0.026667,2.270442
ablation_no_rationale_loss,small-instruct,42,11,k_proj,base_model.model.model.layers.11.self_attn.k_proj,0.137042,0.189384,0.234683,0.0004,0.48494,0.547749,2.380932,0.763235,0.01402,1.480245
ablation_no_rationale_loss,small-instruct,42,11,gate_proj,base_model.model.model.layers.11.mlp.gate_proj,0.07539,0.660015,0.604784,0.000459,0.496849,0.525694,2.24805,2.503936,0.026767,2.017498
ablation_no_rationale_loss,small-instruct,42,11,down_proj,base_model.model.model.layers.11.mlp.down_proj,0.114584,0.434732,0.475443,0.00025,0.496923,0.539785,2.260603,1.557736,0.017785,1.36462
ablation_no_rationale_loss,small-instruct,42,12,q_proj,base_model.model.model.layers.12.self_attn.q_proj,0.128736,0.219057,0.216253,0.000278,0.485745,0.548432,2.172775,1.114352,0.01513,1.292499
ablation_no_rationale_loss,small-instruct,42,12,o_proj,base_model.model.model.layers.12.self_attn.o_proj,0.083019,0.483322,0.492805,0.000483,0.495962,0.528209,2.346999,1.064483,0.023926,1.412706
ablation_no_rationale_loss,small-instruct,42,12,up_proj,base_model.model.model.layers.12.mlp.up_proj,0.094097,0.601142,0.566766,0.00034,0.49802,0.531877,2.131336,1.952471,0.021733,1.594199
ablation_no_rationale_loss,small-instruct,42,13,q_proj,base_model.model.model.layers.13.self_attn.q_proj,0.131303,0.230199,0.229825,0.00027,0.487311,0.549505,2.280074,1.060467,0.014828,1.378728
ablation_no_rationale_loss,small-instruct,42,13,k_proj,base_model.model.model.layers.13.self_attn.k_proj,0.172355,0.154936,0.184192,0.000256,0.476388,0.566696,2.617818,0.59206,0.010766,1.646122
ablation_no_rationale_loss,small-instruct,42,13,v_proj,base_model.model.model.layers.13.self_attn.v_proj,0.077063,0.416012,0.473857,0.000636,0.494604,0.527588,2.1031,0.637996,0.027615,1.101729
ablation_no_rationale_loss,small-instruct,42,13,o_proj,base_model.model.model.layers.13.self_attn.o_proj,0.083548,0.381803,0.392268,0.000467,0.495417,0.528948,2.474896,1.099585,0.024194,0.986689
ablation_no_rationale_loss,small-instruct,42,13,gate_proj,base_model.model.model.layers.13.mlp.gate_proj,0.085305,0.472469,0.433692,0.000482,0.497086,0.528782,1.547256,2.479691,0.026236,1.3149
ablation_no_rationale_loss,small-instruct,42,13,up_proj,base_model.model.model.layers.13.mlp.up_proj,0.097129,0.622233,0.591128,0.00032,0.498038,0.533531,2.887998,1.901643,0.021159,1.281307
ablation_no_rationale_loss,small-instruct,42,13,down_proj,base_model.model.model.layers.13.mlp.down_proj,0.156577,0.366444,0.387875,0.000172,0.496234,0.55611,2.189934,1.162613,0.013151,1.210592
ablation_placement_random,small-instruct,42,0,gate_proj,base_model.model.model.layers.0.mlp.gate_proj,0.074695,1.040191,0.973475,0.000382,0.498041,0.525579,6.997,2.323484,0.024731,3.428098
ablation_placement_random,small-instruct,42,0,down_proj,base_model.model.model.layers.0.mlp.down_proj,0.084594,0.807499,0.854523,0.000871,0.498266,0.527069,1.255708,2.568078,0.029127,1.443166
ablation_placement_random,small-instruct,42,1,q_proj,base_model.model.model.layers.1.self_attn.q_proj,0.149541,0.260959,0.272024,0.000222,0.477307,0.561394,2.032831,1.020159,0.012,1.570015
ablation_placement_random,small-instruct,42,1,k_proj,base_model.model.model.layers.1.self_attn.k_proj,0.192066,0.106956,0.142206,0.000202,0.463851,0.581179,2.000743,0.583842,0.009145,1.798866
ablation_placement_random,small-instruct,42,1,o_proj,base_model.model.model.layers.1.self_attn.o_proj,0.080606,0.466019,0.469664,0.000421,0.497513,0.527239,4.521577,0.955762,0.022444,1.981708
ablation_placement_random,small-instruct,42,2,v_proj,base_model.model.model.layers.2.self_attn.v_proj,0.044214,0.764296,0.921258,0.001447,0.496649,0.515453,2.117366,0.980477,0.047506,1.474337
ablation_placement_random,small-instruct,42,2,gate_proj,base_model.model.model.layers.2.mlp.gate_proj,0.06541,1.179867,1.096522,0.000486,0.49845,0.522664,6.059976,2.710015,0.028268,2.586554
ablation_placement_random,small-instruct,42,2,up_proj,base_model.model.model.layers.2.mlp.up_proj,0.061602,1.415911,1.335506,0.000524,0.499045,0.519611,5.35497,2.657278,0.030169,2.729158
ablation_placement_random,small-instruct,42,2,down_proj,base_model.model.model.layers.2.mlp.down_proj,0.076007,0.927639,1.00178,0.000439,0.498579,0.524077,2.355248,2.301994,0.025977,1.729774
ablation_placement_random,small-instruct,42,6,q_proj,base_model.model.model.layers.6.self_attn.q_proj,0.078918,0.510982,0.507414,0.000488,0.493503,0.52947,3.320058,1.826496,0.023573,1.811715
ablation_placement_random,small-instruct,42,6,k_proj,base_model.model.model.layers.6.self_attn.k_proj,0.10557,0.289503,0.367137,0.000595,0.490119,0.536725,2.264144,1.043988,0.018539,1.666826
ablation_placement_random,small-instruct,42,6,o_proj,base_model.model.model.layers.6.self_attn.o_proj,0.048755,1.125994,1.142868,0.000947,0.497903,0.518217,3.360587,1.71284,0.039344,1.702505
ablation_placement_random,small-instruct,42,7,up_proj,base_model.model.model.layers.7.mlp.up_proj,0.113882,0.547169,0.521063,0.000275,0.498172,0.53843,1.658203,1.637992,0.018865,1.297478
ablation_placement_random,small-instruct,42,7,down_proj,base_model.model.model.layers.7.mlp.down_proj,0.155112,0.286281,0.310475,0.000199,0.495564,0.555662,1.405014,1.25953,0.01457,1.21236
ablation_placement_random,small-instruct,42,13,k_proj,base_model.model.model.layers.13.self_attn.k_proj,0.13008,0.217301,0.268993,0.000477,0.483095,0.54912,2.783271,0.781295,0.014207,1.814318
ablation_placement_random,small-instruct,42,13,v_proj,base_model.model.model.layers.13.self_attn.v_proj,0.070279,0.458904,0.527298,0.000799,0.494738,0.52531,1.406347,0.752054,0.032552,1.186167
ablation_placement_random,small-instruct,42,13,o_proj,base_model.model.model.layers.13.self_attn.o_proj,0.072703,0.518441,0.530401,0.000558,0.496233,0.525002,2.531758,1.23639,0.027205,1.686327
ablation_placement_random,small-instruct,42,13,gate_proj,base_model.model.model.layers.13.mlp.gate_proj,0.068818,0.739489,0.684523,0.000643,0.497571,0.523047,1.641299,2.929202,0.030992,1.471447
ablation_placement_random,small-instruct,42,15,q_proj,base_model.model.model.layers.15.self_attn.q_proj,0.060373,0.672378,0.67423,0.000819,0.493909,0.522235,1.8491,2.552166,0.033764,1.433773
ablation_placement_random,small-instruct,42,15,up_proj,base_model.model.model.layers.15.mlp.up_proj,0.046757,1.822237,1.722237,0.001184,0.499407,0.515008,2.795797,3.760806,0.04181,1.713608
ablation_placement_random,small-instruct,42,15,down_proj,base_model.model.model.layers.15.mlp.down_proj,0.060066,1.244481,1.314872,0.000766,0.498745,0.521252,2.153213,2.97447,0.033636,1.552572
ablation_placement_random,small-instruct,42,16,k_proj,base_model.model.model.layers.16.self_attn.k_proj,0.073535,0.447419,0.567058,0.000987,0.492899,0.527263,2.263534,1.470165,0.026849,1.626497
ablation_placement_random,small-instruct,42,16,v_proj,base_model.model.model.layers.16.self_attn.v_proj,0.035261,1.094396,1.315811,0.001836,0.498418,0.511794,3.708491,1.300247,0.054646,1.48386
ablation_placement_random,small-instruct,42,16,o_proj,base_model.model.model.layers.16.self_attn.o_proj,0.035471,1.686884,1.691152,0.001538,0.499316,0.5112,3.715962,2.527531,0.053585,1.756964
ablation_placement_random,small-instruct,42,16,gate_proj,base_model.model.model.layers.16.mlp.gate_proj,0.03389,1.307286,1.189878,0.02332,0.499137,0.511954,1.133165,8.299561,0.081354,1.599037
ablation_placement_random,small-instruct,42,17,q_proj,base_model.model.model.layers.17.self_attn.q_proj,0.081877,0.598696,0.59804,0.000483,0.494022,0.530356,2.896376,1.78064,0.023951,1.73258
ablation_placement_random,small-instruct,42,17,up_proj,base_model.model.model.layers.17.mlp.up_proj,0.058561,1.219704,1.151645,0.001402,0.49932,0.520337,1.748719,3.202955,0.035936,2.037894
ablation_placement_random,small-instruct,42,19,k_proj,base_model.model.model.layers.19.self_attn.k_proj,0.068476,0.515498,0.646493,0.000952,0.494765,0.522495,2.343355,1.47553,0.028725,1.537345
ablation_placement_random,small-instruct,42,19,gate_proj,base_model.model.model.layers.19.mlp.gate_proj,0.037701,1.475428,1.357975,0.010883,0.499124,0.513599,1.281641,6.5764,0.06424,1.664402
ablation_placement_random,small-instruct,42,19,down_proj,base_model.model.model.layers.19.mlp.down_proj,0.050757,1.381882,1.472357,0.001431,0.499068,0.516629,2.23272,3.565694,0.039492,1.553179
ablation_placement_random,small-instruct,42,21,q_proj,base_model.model.model.layers.21.self_attn.q_proj,0.054457,0.888567,0.887039,0.001252,0.496619,0.519469,1.422494,2.961981,0.042215,1.613064
ablation_placement_random,small-instruct,42,21,v_proj,base_model.model.model.layers.21.self_attn.v_proj,0.047606,0.727351,0.888589,0.00118,0.497464,0.516569,2.674634,1.300646,0.041844,1.496655
ablation_placement_random,small-instruct,42,21,o_proj,base_model.model.model.layers.21.self_attn.o_proj,0.04452,1.330665,1.343036,0.001068,0.498694,0.514222,3.79586,2.29551,0.043085,1.884804
ablation_placement_random,small-instruct,42,21,up_proj,base_model.model.model.layers.21.mlp.up_proj,0.038596,1.661018,1.543943,0.013656,0.499464,0.512311,1.357606,5.58146,0.060595,1.914207
ablation_placement_random,small-instruct,42,23,k_proj,base_model.model.model.layers.23.self_attn.k_proj,0.063845,0.570343,0.714897,0.00104,0.493325,0.52422,3.794509,1.544024,0.031156,1.358484
ablation_placement_random,small-instruct,42,23,gate_proj,base_model.model.model.layers.23.mlp.gate_proj,0.035951,1.687332,1.558163,0.009777,0.498826,0.512126,1.386331,6.660766,0.063464,1.664176
ablation_placement_random,small-instruct,42,23,down_proj,base_model.model.model.layers.23.mlp.down_proj,0.04413,1.315632,1.437258,0.001339,0.498576,0.513735,2.484933,4.166088,0.045571,1.339426
ablation_placement_random,small-instruct,42,24,q_proj,base_model.model.model.layers.24.self_attn.q_proj,0.039623,1.422861,1.417244,0.0015,0.497953,0.51349,2.822499,3.365988,0.049584,1.41775
ablation_placement_random,small-instruct,42,24,o_proj,base_model.model.model.layers.24.self_attn.o_proj,0.03541,1.624249,1.636115,0.00288,0.498915,0.512391,2.232782,3.10648,0.055845,1.779055
ablation_placement_random,small-instruct,42,24,up_proj,base_model.model.model.layers.24.mlp.up_proj,0.034371,2.287908,2.118955,0.006987,0.499494,0.511524,2.012456,5.533515,0.060041,1.852175
ablation_placement_random,small-instruct,42,26,q_proj,base_model.model.model.layers.26.self_attn.q_proj,0.080432,0.476568,0.477278,0.000575,0.490888,0.528833,1.574873,1.726911,0.026509,1.672725
ablation_placement_random,small-instruct,42,26,k_proj,base_model.model.model.layers.26.self_attn.k_proj,0.094468,0.359258,0.433993,0.000533,0.488624,0.53421,2.630589,0.891045,0.020732,1.81498
