tier,method,n_seeds,seeds,novel_B_mean,novel_B_by_seed,erasure_on_diff,wrong_group_on_diff,fabrication_on_equal,invalid
broad-instruct,ablation_no_condition_adaptive,1,42,0.9344,0.9344,0.0,0.0329,0.0962,0.0
broad-instruct,ablation_no_rationale_loss,1,42,0.9122,0.9122,0.0,0.0235,0.1442,0.0
broad-instruct,ablation_placement_random,1,42,0.949,0.9490,0.0047,0.0188,0.0769,0.0
broad-instruct,ablation_placement_random_draw2,1,42,0.9421,0.9421,0.0094,0.0235,0.0817,0.0
broad-instruct,ablation_placement_random_draw3,1,42,0.9392,0.9392,0.0,0.0282,0.0913,0.0
broad-instruct,ablation_placement_uniform,1,42,0.9161,0.9161,0.0,0.0329,0.1298,0.0
broad-instruct,ablation_rank_sweep_16,1,42,0.9378,0.9378,0.0,0.0141,0.1058,0.0
broad-instruct,ablation_rank_sweep_32,1,42,0.923,0.9230,0.0047,0.0188,0.125,0.0
broad-instruct,ablation_rank_sweep_8,1,42,0.9357,0.9357,0.0,0.0188,0.1058,0.0
broad-instruct,baseline_dart,3,"42,43,44",0.9377,0.9395;0.9264;0.9471,0.0047,0.0282,0.0865,0.0
broad-instruct,baseline_fairnet,3,"42,43,44",0.9157,0.9240;0.9240;0.8991,0.0188,0.0141,0.1154,0.0
broad-instruct,baseline_fairsteer,1,42,0.0189,0.0189,0.0,0.3662,0.9904,0.0
broad-instruct,baseline_igu_lora,1,42,0.9568,0.9568,0.0141,0.0141,0.0577,0.0
broad-instruct,baseline_lftf,1,42,0.924,0.9240,0.0516,0.0235,0.0769,0.0
broad-instruct,baseline_pedal,1,42,0.9245,0.9245,0.0094,0.0282,0.1106,0.0
broad-instruct,baseline_regift,1,42,0.9541,0.9541,0.0047,0.0188,0.0673,0.0
broad-instruct,frozen_base,1,42,0.3829,0.3829,0.0704,0.1596,0.7452,0.0
broad-instruct,graft_proposed,3,"42,43,44",0.9315,0.9421;0.9513;0.9011,0.0047,0.0282,0.0817,0.0
broad-instruct,graft_proposed_loao_gender,1,42,0.5161,0.5161,0.6087,0.0435,0.0,0.0
broad-instruct,graft_proposed_loao_landholding,1,42,0.5844,0.5844,0.0,0.4598,0.3636,0.0
broad-instruct,graft_proposed_loao_social_group,1,42,0.0,0.0000,0.9417,0.0583,0.0357,0.0
broad-instruct,graft_proposed_qlora_nf4,1,42,0.9141,0.9141,0.0,0.0704,0.101,0.0
broad-instruct,reference_vanilla_lora,3,"42,43,44",0.9324,0.9395;0.9471;0.9106,0.0047,0.0282,0.0865,0.0
broad-instruct,reference_vanilla_lora_loao_gender,1,42,0.0833,0.0833,0.7391,0.2174,0.0,0.0
broad-instruct,reference_vanilla_lora_loao_landholding,1,42,0.6547,0.6547,0.0805,0.1954,0.4026,0.0
broad-instruct,reference_vanilla_lora_loao_social_group,1,42,0.0,0.0000,1.0,0.0,0.0,0.0
broad-instruct,reference_vanilla_qlora,1,42,0.9513,0.9513,0.0,0.0188,0.0769,0.0
cpu-baseline,always_equal,1,20260912,0.0,0.0000,1.0,0.0,0.0,0.0
cpu-baseline,majority,1,20260912,0.0,0.0000,1.0,0.0,0.0,0.0
cpu-baseline,metadata,1,20260912,0.8392,0.8392,0.1033,0.0235,0.1923,0.0
cpu-baseline,tfidf,1,20260912,0.9333,0.9333,0.0235,0.0329,0.0769,0.0
general-instruct,ablation_no_condition_adaptive,1,42,0.9308,0.9308,0.0282,0.0282,0.0817,0.0
general-instruct,ablation_no_rationale_loss,1,42,0.9366,0.9366,0.0047,0.0235,0.0962,0.0
general-instruct,ablation_placement_random,1,42,0.9355,0.9355,0.0094,0.0423,0.0769,0.0
general-instruct,ablation_placement_random_draw2,1,42,0.9388,0.9388,0.0,0.0235,0.0962,0.0
general-instruct,ablation_placement_random_draw3,1,42,0.94,0.9400,0.0,0.0094,0.1058,0.0
general-instruct,ablation_placement_uniform,1,42,0.9314,0.9314,0.0,0.0282,0.1058,0.0
general-instruct,ablation_rank_sweep_16,1,42,0.9468,0.9468,0.0094,0.0188,0.0769,0.0
general-instruct,ablation_rank_sweep_32,1,42,0.8963,0.8963,0.0141,0.0563,0.1346,0.0
general-instruct,ablation_rank_sweep_8,1,42,0.9465,0.9465,0.0141,0.0094,0.0817,0.0
general-instruct,baseline_dart,3,"42,43,44",0.9435,0.9335;0.9446;0.9523,0.0329,0.0329,0.0673,0.0
general-instruct,baseline_fairnet,3,"42,43,44",0.9268,0.9355;0.9357;0.9093,0.0047,0.0469,0.0769,0.0
general-instruct,baseline_fairsteer,1,42,0.0,0.0000,0.0,0.23,1.0,0.0024
general-instruct,baseline_igu_lora,1,42,0.9357,0.9357,0.0235,0.0329,0.0721,0.0
general-instruct,baseline_lftf,1,42,0.9446,0.9446,0.0047,0.0282,0.0769,0.0
general-instruct,baseline_pedal,1,42,0.9108,0.9108,0.0,0.0329,0.1394,0.0
general-instruct,baseline_regift,1,42,0.945,0.9450,0.0657,0.0141,0.0288,0.0
general-instruct,frozen_base,1,42,0.3046,0.3046,0.0329,0.2347,0.8077,0.0
general-instruct,graft_proposed,3,"42,43,44",0.9071,0.9219;0.9417;0.8576,0.0,0.0376,0.1154,0.0
general-instruct,graft_proposed_loao_gender,1,42,0.4138,0.4138,0.5652,0.1739,0.0,0.0
general-instruct,graft_proposed_loao_landholding,1,42,0.33,0.3300,0.0575,0.7126,0.4156,0.0
general-instruct,graft_proposed_loao_social_group,1,42,0.1268,0.1268,0.4951,0.4369,0.0536,0.0
general-instruct,graft_proposed_qlora_nf4,1,42,0.9288,0.9288,0.0,0.0282,0.1106,0.0
general-instruct,reference_vanilla_lora,3,"42,43,44",0.9211,0.9439;0.9245;0.8948,0.0047,0.0188,0.0865,0.0
general-instruct,reference_vanilla_lora_loao_gender,1,42,0.6471,0.6471,0.5217,0.0,0.0,0.0
general-instruct,reference_vanilla_lora_loao_landholding,1,42,0.3826,0.3826,0.5172,0.2414,0.0779,0.0
general-instruct,reference_vanilla_lora_loao_social_group,1,42,0.4241,0.4241,0.7184,0.0097,0.0357,0.0
general-instruct,reference_vanilla_qlora,1,42,0.9513,0.9513,0.0094,0.0094,0.0769,0.0
general-instruct-2,ablation_no_condition_adaptive,1,42,0.9154,0.9154,0.0188,0.0329,0.1154,0.0
general-instruct-2,ablation_no_rationale_loss,1,42,0.9068,0.9068,0.0423,0.0329,0.1106,0.0
general-instruct-2,ablation_placement_random,1,42,0.9446,0.9446,0.0,0.0329,0.0769,0.0
general-instruct-2,ablation_placement_random_draw2,1,42,0.9216,0.9216,0.0329,0.0469,0.0769,0.0
general-instruct-2,ablation_placement_random_draw3,1,42,0.9406,0.9406,0.0376,0.0188,0.0625,0.0
general-instruct-2,ablation_placement_uniform,1,42,0.9513,0.9513,0.0047,0.0141,0.0769,0.0
general-instruct-2,ablation_rank_sweep_16,1,42,0.9298,0.9298,0.0,0.0141,0.1202,0.0
general-instruct-2,ablation_rank_sweep_32,1,42,0.9448,0.9448,0.0047,0.0329,0.0721,0.0
