tier,method,n_seeds,seeds,novel_B_mean,novel_B_by_seed,erasure_on_diff,wrong_group_on_diff,fabrication_on_equal,invalid
general-instruct-2,ablation_rank_sweep_8,1,42,0.9417,0.9417,0.0047,0.0235,0.0865,0.0
general-instruct-2,baseline_dart,3,"42,43,44",0.8946,0.8388;0.9227;0.9223,0.0141,0.0704,0.226,0.0
general-instruct-2,baseline_fairnet,3,"42,43,44",0.8573,0.7526;0.9169;0.9023,0.0235,0.0986,0.3413,0.0
general-instruct-2,baseline_fairsteer,1,42,0.5282,0.5282,0.4085,0.1174,0.4038,0.0
general-instruct-2,baseline_igu_lora,1,42,0.9216,0.9216,0.0423,0.0329,0.0817,0.0
general-instruct-2,baseline_lftf,1,42,0.7034,0.7034,0.2488,0.1033,0.226,0.0024
general-instruct-2,baseline_pedal,1,42,0.9015,0.9015,0.0235,0.0469,0.125,0.0
general-instruct-2,baseline_regift,1,42,0.9188,0.9188,0.0235,0.0423,0.0962,0.0
general-instruct-2,frozen_base,1,42,0.4862,0.4862,0.3427,0.1925,0.4904,0.0
general-instruct-2,graft_proposed,3,"42,43,44",0.913,0.9138;0.9271;0.8981,0.0329,0.0329,0.1058,0.0
general-instruct-2,graft_proposed_loao_gender,1,42,0.2963,0.2963,0.8261,0.0,0.0,0.0
general-instruct-2,graft_proposed_loao_landholding,1,42,0.1275,0.1275,0.5517,0.3793,0.1558,0.0
general-instruct-2,graft_proposed_loao_social_group,1,42,0.0923,0.0923,0.1748,0.7767,0.0625,0.0
general-instruct-2,graft_proposed_qlora_nf4,1,42,0.9378,0.9378,0.0235,0.0235,0.0769,0.0
general-instruct-2,reference_vanilla_lora,3,"42,43,44",0.9089,0.9084;0.9106;0.9076,0.0094,0.0516,0.1202,0.0
general-instruct-2,reference_vanilla_lora_loao_gender,1,42,0.5161,0.5161,0.6522,0.0,0.0,0.0
general-instruct-2,reference_vanilla_lora_loao_landholding,1,42,0.3234,0.3234,0.1724,0.6207,0.2597,0.0
general-instruct-2,reference_vanilla_lora_loao_social_group,1,42,0.074,0.0740,0.3204,0.6408,0.2143,0.0
general-instruct-2,reference_vanilla_qlora,1,42,0.9407,0.9407,0.0282,0.0376,0.0529,0.0
small-instruct,ablation_no_condition_adaptive,1,42,0.9383,0.9383,0.0,0.0188,0.101,0.0
small-instruct,ablation_no_rationale_loss,1,42,0.9501,0.9501,0.0188,0.0329,0.0481,0.0
small-instruct,ablation_placement_random,1,42,0.9589,0.9589,0.0047,0.0141,0.0625,0.0
small-instruct,ablation_placement_random_draw2,1,42,0.9516,0.9516,0.0047,0.0188,0.0721,0.0
small-instruct,ablation_placement_random_draw3,1,42,0.956,0.9560,0.0047,0.0094,0.0721,0.0
small-instruct,ablation_placement_uniform,1,42,0.9493,0.9493,0.0047,0.0235,0.0721,0.0
small-instruct,ablation_rank_sweep_16,1,42,0.9409,0.9409,0.0047,0.0141,0.0962,0.0
small-instruct,ablation_rank_sweep_32,1,42,0.9373,0.9373,0.0047,0.0329,0.0865,0.0
small-instruct,ablation_rank_sweep_8,1,42,0.9406,0.9406,0.0423,0.0188,0.0577,0.0
small-instruct,baseline_dart,3,"42,43,44",0.9447,0.9388;0.9428;0.9524,0.0,0.0235,0.0962,0.0
small-instruct,baseline_fairnet,3,"42,43,44",0.9446,0.9426;0.9535;0.9378,0.0047,0.0376,0.0721,0.0
small-instruct,baseline_fairsteer,1,42,0.4223,0.4223,0.3239,0.3052,0.5096,0.0
small-instruct,baseline_igu_lora,1,42,0.9353,0.9353,0.0094,0.0376,0.0817,0.0
small-instruct,baseline_lftf,1,42,0.8785,0.8785,0.1033,0.0423,0.0962,0.0
small-instruct,baseline_pedal,1,42,0.9392,0.9392,0.0,0.0282,0.0913,0.0
small-instruct,baseline_regift,1,42,0.9468,0.9468,0.0047,0.0235,0.0769,0.0
small-instruct,frozen_base,1,42,0.4212,0.4212,0.4038,0.2676,0.4135,0.0
small-instruct,graft_proposed,3,"42,43,44",0.9486,0.9355;0.9608;0.9496,0.0141,0.0376,0.0769,0.0
small-instruct,graft_proposed_loao_gender,1,42,0.2963,0.2963,0.8261,0.0,0.0,0.0
small-instruct,graft_proposed_loao_landholding,1,42,0.5094,0.5094,0.0,0.5862,0.3377,0.0
small-instruct,graft_proposed_loao_social_group,1,42,0.0745,0.0745,0.3592,0.6019,0.0893,0.0
small-instruct,graft_proposed_qlora_nf4,1,42,0.9471,0.9471,0.0047,0.0282,0.0721,0.0
small-instruct,reference_vanilla_lora,3,"42,43,44",0.9151,0.9519;0.9452;0.8483,0.0,0.0282,0.0673,0.0
small-instruct,reference_vanilla_lora_loao_gender,1,42,0.0,0.0000,0.913,0.087,0.0,0.0
small-instruct,reference_vanilla_lora_loao_landholding,1,42,0.5809,0.5809,0.0,0.4828,0.3377,0.0
small-instruct,reference_vanilla_lora_loao_social_group,1,42,0.1273,0.1273,0.8058,0.1262,0.0,0.0
small-instruct,reference_vanilla_qlora,1,42,0.9443,0.9443,0.0094,0.0188,0.0817,0.0
