tier,method,bundles,joint_evidence_following_rate,no_evidence_acc,verified_acc,verified_minus_no_evidence,synthetic_acc,synthetic_equal_answer_rate,anonymised_consistent_and_correct_rate,invalid_rate,joint_evidence_following_rate_wilson95,verified_acc_wilson95,no_evidence_acc_wilson95,synthetic_acc_wilson95,anonymised_consistent_and_correct_rate_wilson95
broad-instruct,ablation_rank_sweep_8,48,0.8958,0.9792,0.8958,-0.0833,1.0,0.0,0.8542,0.0,"(0.7783, 0.9547)","(0.7783, 0.9547)","(0.891, 0.9963)","(0.9259, 1.0)","(0.7283, 0.9275)"
broad-instruct,frozen_base,48,0.5625,0.5417,0.5625,0.0208,1.0,0.0,0.5417,0.0,"(0.4227, 0.693)","(0.4227, 0.693)","(0.4029, 0.6742)","(0.9259, 1.0)","(0.4029, 0.6742)"
broad-instruct,graft_proposed,48,0.9792,0.9583,0.9792,0.0208,1.0,0.0,0.9583,0.0052,"(0.891, 0.9963)","(0.891, 0.9963)","(0.8602, 0.9885)","(0.9259, 1.0)","(0.8602, 0.9885)"
small-instruct,ablation_rank_sweep_8,48,0.0,0.8542,0.8542,0.0,0.0208,0.9792,0.5208,0.0,"(0.0, 0.0741)","(0.7283, 0.9275)","(0.7283, 0.9275)","(0.0037, 0.109)","(0.3833, 0.6553)"
small-instruct,frozen_base,48,0.1667,0.3125,0.3125,0.0,0.6458,0.3125,0.2292,0.0,"(0.087, 0.2958)","(0.1995, 0.4533)","(0.1995, 0.4533)","(0.5044, 0.7657)","(0.1331, 0.3654)"
small-instruct,graft_proposed,48,0.0417,0.9792,0.9792,0.0,0.0417,0.9375,0.7292,0.0052,"(0.0115, 0.1398)","(0.891, 0.9963)","(0.891, 0.9963)","(0.0115, 0.1398)","(0.59, 0.8343)"
