source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for All/Large/area=13106,92.1028536548,7.8971463452,raw male=12071; raw female=1035; construction fact=f02001; stored gap=84.21 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Large/number/MvF,AgCensus2015-16,T14-16,All,Large,number,MvF,gender,men,women,4,0,0,4,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for All/Large/number=819,91.9413919414,8.0586080586,raw male=753; raw female=66; construction fact=f01976; stored gap=83.88 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Marginal/area/MvF,AgCensus2015-16,T14-16,All,Marginal,area,MvF,gender,men,women,2,0,0,2,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for All/Marginal/area=37873,86.2329363927,13.7670636073,raw male=32659; raw female=5214; construction fact=f02002; stored gap=72.47 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Marginal/number/MvF,AgCensus2015-16,T14-16,All,Marginal,number,MvF,gender,men,women,4,0,4,0,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for All/Marginal/number=100099,85.2985544311,14.7014455689,raw male=85383; raw female=14716; construction fact=f01977; stored gap=70.6 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Medium/area/MvF,AgCensus2015-16,T14-16,All,Medium,area,MvF,gender,men,women,3,0,0,3,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for All/Medium/area=31664,90.2791814047,9.7208185953,raw male=28586; raw female=3078; construction fact=f02003; stored gap=80.56 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Medium/number/MvF,AgCensus2015-16,T14-16,All,Medium,number,MvF,gender,men,women,2,2,0,0,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for All/Medium/number=5538,90.1950162514,9.8049837486,raw male=4995; raw female=543; construction fact=f01978; stored gap=80.39 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Small/area/MvF,AgCensus2015-16,T14-16,All,Small,area,MvF,gender,men,women,6,0,0,6,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for All/Small/area=36099,86.6672206986,13.3327793014,raw male=31286; raw female=4813; construction fact=f02004; stored gap=73.33 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/Small/number/MvF,AgCensus2015-16,T14-16,All,Small,number,MvF,gender,men,women,2,0,0,2,diff,a,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for All/Small/number=25772,86.5396554400,13.4603445600,raw male=22303; raw female=3469; construction fact=f01979; stored gap=73.08 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 All/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,3,0,0,3,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within All/Large/area (M+F=13106) versus All/Medium/area (M+F=31664),7.8971463452,9.7208185953,"raw female numerators=1035,3078; male values=12071,28586; construction fact=f02013; stored gap=1.82 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,3,3,0,0,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within All/Marginal/area (M+F=37873) versus All/Medium/area (M+F=31664),13.7670636073,9.7208185953,"raw female numerators=5214,3078; male values=32659,28586; construction fact=f02014; stored gap=4.05 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
