source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,4,4,0,0,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within All/Marginal/area (M+F=37873) versus All/Small/area (M+F=36099),13.7670636073,13.3327793014,"raw female numerators=5214,4813; male values=32659,31286; construction fact=f02015; stored gap=0.43 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,3,3,0,0,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within All/Medium/area (M+F=31664) versus All/Small/area (M+F=36099),9.7208185953,13.3327793014,"raw female numerators=3078,4813; male values=28586,31286; construction fact=f02016; stored gap=3.61 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,4,0,0,4,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within All/Large/number (M+F=819) versus All/Medium/number (M+F=5538),8.0586080586,9.8049837486,"raw female numerators=66,543; male values=753,4995; construction fact=f01988; stored gap=1.75 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,4,0,0,4,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within All/Marginal/number (M+F=100099) versus All/Medium/number (M+F=5538),14.7014455689,9.8049837486,"raw female numerators=14716,543; male values=85383,4995; construction fact=f01989; stored gap=4.9 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,2,2,0,0,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within All/Marginal/number (M+F=100099) versus All/Small/number (M+F=25772),14.7014455689,13.4603445600,"raw female numerators=14716,3469; male values=85383,22303; construction fact=f01990; stored gap=1.24 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,5,5,0,0,equal,c,"Table 14, PDF pages 61-62",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within All/Medium/number (M+F=5538) versus All/Small/number (M+F=25772),9.8049837486,13.4603445600,"raw female numerators=543,3469; male values=4995,22303; construction fact=f01991; stored gap=3.66 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/Large/area/MvF,AgCensus2015-16,T14-16,SC,Large,area,MvF,gender,men,women,3,3,0,0,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for SC/Large/area=756,92.1957671958,7.8042328042,raw male=697; raw female=59; construction fact=f02005; stored gap=84.39 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Large/number/MvF,AgCensus2015-16,T14-16,SC,Large,number,MvF,gender,men,women,5,0,0,5,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for SC/Large/number=48,91.6666666667,8.3333333333,raw male=44; raw female=4; construction fact=f01980; stored gap=83.33 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Marginal/area/MvF,AgCensus2015-16,T14-16,SC,Marginal,area,MvF,gender,men,women,1,1,0,0,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for SC/Marginal/area=4954,87.1215179653,12.8784820347,raw male=4316; raw female=638; construction fact=f02006; stored gap=74.24 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Marginal/number/MvF,AgCensus2015-16,T14-16,SC,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for SC/Marginal/number=13558,86.1926537837,13.8073462163,raw male=11686; raw female=1872; construction fact=f01981; stored gap=72.39 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Medium/area/MvF,AgCensus2015-16,T14-16,SC,Medium,area,MvF,gender,men,women,6,0,0,6,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for SC/Medium/area=1751,90.4625928041,9.5374071959,raw male=1584; raw female=167; construction fact=f02007; stored gap=80.93 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Medium/number/MvF,AgCensus2015-16,T14-16,SC,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for SC/Medium/number=309,90.2912621359,9.7087378641,raw male=279; raw female=30; construction fact=f01982; stored gap=80.58 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Small/area/MvF,AgCensus2015-16,T14-16,SC,Small,area,MvF,gender,men,women,5,0,5,0,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,M+F total for SC/Small/area=3431,87.5837948120,12.4162051880,raw male=3005; raw female=426; construction fact=f02008; stored gap=75.17 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Small/number/MvF,AgCensus2015-16,T14-16,SC,Small,number,MvF,gender,men,women,4,0,0,4,diff,a,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,M+F total for SC/Small/number=2452,87.3572593801,12.6427406199,raw male=2142; raw female=310; construction fact=f01983; stored gap=74.71 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within SC/Large/area (M+F=756) versus SC/Medium/area (M+F=1751),7.8042328042,9.5374071959,"raw female numerators=59,167; male values=697,1584; construction fact=f02017; stored gap=1.73 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsSmall,gender,large operated area,small operated area,6,6,0,0,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within SC/Large/area (M+F=756) versus SC/Small/area (M+F=3431),7.8042328042,12.4162051880,"raw female numerators=59,426; male values=697,3005; construction fact=f02018; stored gap=4.61 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,2,0,2,0,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within SC/Marginal/area (M+F=4954) versus SC/Medium/area (M+F=1751),12.8784820347,9.5374071959,"raw female numerators=638,167; male values=4316,1584; construction fact=f02019; stored gap=3.34 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,5,5,0,0,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within SC/Marginal/area (M+F=4954) versus SC/Small/area (M+F=3431),12.8784820347,12.4162051880,"raw female numerators=638,426; male values=4316,3005; construction fact=f02020; stored gap=0.46 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,2,2,0,0,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,female share within SC/Medium/area (M+F=1751) versus SC/Small/area (M+F=3431),9.5374071959,12.4162051880,"raw female numerators=167,426; male values=1584,3005; construction fact=f02021; stored gap=2.88 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,6,0,0,6,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within SC/Large/number (M+F=48) versus SC/Medium/number (M+F=309),8.3333333333,9.7087378641,"raw female numerators=4,30; male values=44,279; construction fact=f01992; stored gap=1.38 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsSmall,gender,large holdings,small holdings,5,5,0,0,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within SC/Large/number (M+F=48) versus SC/Small/number (M+F=2452),8.3333333333,12.6427406199,"raw female numerators=4,310; male values=44,2142; construction fact=f01993; stored gap=4.31 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,0,0,3,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within SC/Marginal/number (M+F=13558) versus SC/Medium/number (M+F=309),13.8073462163,9.7087378641,"raw female numerators=1872,30; male values=11686,279; construction fact=f01994; stored gap=4.1 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,4,0,0,equal,c,"Table 15, PDF pages 63-64",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,female share within SC/Marginal/number (M+F=13558) versus SC/Small/number (M+F=2452),13.8073462163,12.6427406199,"raw female numerators=1872,310; male values=11686,2142; construction fact=f01995; stored gap=1.16 pp",recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
