tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family,holm_adjusted_p,significant_after_holm_0_05
general-instruct,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.0,0.9238,,,0.8977,0.9447,,0.01961,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.0,0.9238,,,0.8977,0.9447,,0.01961,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.822,0.1018,,,0.0676,0.1404,,0.01961,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.9185,0.0053,,,-0.0159,0.0287,,0.76471,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.0,0.9105,,,0.8849,0.9303,,0.01961,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.0,0.9105,,,0.8849,0.9303,,0.01961,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.822,0.0885,,,0.061,0.1287,,0.01961,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.9185,-0.008,,,-0.0275,0.0099,,0.41176,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.0,0.9332,,,0.9111,0.9529,,0.01961,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.0,0.9332,,,0.9111,0.9529,,0.01961,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.822,0.1112,,,0.0767,0.1517,,0.01961,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.9185,0.0147,,,0.0022,0.0292,,0.05882,,cpu_baselines_exploratory,,
