tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family,holm_adjusted_p,significant_after_holm_0_05
broad-instruct,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.9161,0.026,[0.026],,0.0074,0.0457,50,0.05882,50,localisation,0.17646,False
general-instruct,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.9314,-0.0095,[-0.0095],,-0.0348,0.019,50,0.72549,50,localisation,0.72549,False
general-instruct-2,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.9513,-0.0374,[-0.0374],,-0.0641,-0.0173,50,0.01961,50,localisation,0.07844,False
small-instruct,graft_proposed,ablation_placement_uniform,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.9493,-0.0138,[-0.0138],,-0.0287,-0.0014,50,0.17647,50,localisation,0.35294,False
broad-instruct,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9421,0.3829,0.5592,[0.5592],,0.4902,0.6629,50,0.01961,50,secondary_baselines,0.07844,False
general-instruct,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9219,0.3046,0.6173,[0.6173],,0.5132,0.7413,50,0.01961,50,secondary_baselines,0.07844,False
general-instruct-2,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9138,0.4862,0.4276,[0.4276],,0.3744,0.5202,50,0.01961,50,secondary_baselines,0.07844,False
small-instruct,graft_proposed,frozen_base,structure_novel,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,244,421,0,0,0.9355,0.4212,0.5143,[0.5143],,0.4478,0.5673,50,0.01961,50,secondary_baselines,0.07844,False
broad-instruct,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.0,0.9421,,,0.9174,0.9643,,0.01961,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.0,0.9421,,,0.9174,0.9643,,0.01961,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.8392,0.1029,,,0.0602,0.1819,,0.01961,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9421,0.9333,0.0088,,,-0.0157,0.0341,,0.60784,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.0,0.9219,,,0.875,0.9628,,0.01961,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.0,0.9219,,,0.875,0.9628,,0.01961,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.8392,0.0827,,,0.0553,0.1425,,0.01961,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9219,0.9333,-0.0114,,,-0.0564,0.0257,,0.76471,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.0,0.9138,,,0.8704,0.9457,,0.01961,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.0,0.9138,,,0.8704,0.9457,,0.01961,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.8392,0.0746,,,0.0413,0.1306,,0.01961,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9138,0.9333,-0.0194,,,-0.0495,0.0164,,0.27451,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/always_equal,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.0,0.9355,,,0.9144,0.951,,0.01961,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/majority,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.0,0.9355,,,0.9144,0.951,,0.01961,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/metadata,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.8392,0.0964,,,0.0457,0.1708,,0.01961,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/tfidf,structure_novel,source_cell,,,[42],seed_42_paired,ok,244,421,,,0.9355,0.9333,0.0023,,,-0.0261,0.0197,,0.92157,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.9204,0.0168,[0.0168],,-0.003,0.033,50,0.09804,50,localisation,0.19608,False
general-instruct,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9356,-0.0118,[-0.0118],,-0.0316,0.0054,50,0.33333,50,localisation,0.33333,False
general-instruct-2,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9479,-0.0374,[-0.0374],,-0.0573,-0.0243,50,0.01961,50,localisation,0.07844,False
small-instruct,graft_proposed,ablation_placement_uniform,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9466,-0.0134,[-0.0134],,-0.023,-0.0006,50,0.01961,50,localisation,0.07844,False
broad-instruct,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9372,0.3434,0.5939,[0.5939],,0.5057,0.6898,50,0.01961,50,secondary_baselines,0.07844,False
general-instruct,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.2445,0.6793,[0.6793],,0.5843,0.7639,50,0.01961,50,secondary_baselines,0.07844,False
general-instruct-2,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.4289,0.4816,[0.4816],,0.4191,0.567,50,0.01961,50,secondary_baselines,0.07844,False
small-instruct,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.386,0.5472,[0.5472],,0.5015,0.5998,50,0.01961,50,secondary_baselines,0.07844,False
broad-instruct,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.0,0.9372,,,0.9133,0.954,,0.01961,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.0,0.9372,,,0.9133,0.954,,0.01961,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.822,0.1152,,,0.0754,0.1601,,0.01961,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.9185,0.0187,,,0.0001,0.0401,,0.05882,,cpu_baselines_exploratory,,
