tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family
broad-instruct,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9421,0.9161,0.026,[0.026],,0.0124,0.0486,50,0.21569,50,localisation_sensitivity_state_blind_key
general-instruct,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9219,0.9314,-0.0095,[-0.0095],,-0.0833,0.0334,50,0.7451,50,localisation_sensitivity_state_blind_key
general-instruct-2,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9138,0.9513,-0.0374,[-0.0374],,-0.0835,-0.018,50,0.21569,50,localisation_sensitivity_state_blind_key
small-instruct,graft_proposed,ablation_placement_uniform,structure_novel,state_blind_key,"[42, 43, 44]",[42],[42],seed_42_paired,ok,22,421,0,0,0.9355,0.9493,-0.0138,[-0.0138],,-0.023,-0.0063,50,0.05882,50,localisation_sensitivity_state_blind_key
